Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Jeff Abbott\abbotje01,7,17,57,5,9,2,6,1,5,0.158,0.222,0.263,0.485
Jim Abbott*\abbotji01,1,18,21,0,2,0,3,0,0,0.095,0.095,0.095,0.19
Kurt Abbott\abbotku01,653512,96,286,41,78,8,41,3,16,0.273,0.31,0.43,0.74
Paul Abbott\abbotpa01,1,3,0,0,0,0,0,0,0,,,,
Bobby Abreu*\abreubo01,*9/D,152,546,118,183,20,93,27,109,0.335,0.446,0.549,0.995
Juan Acevedo\aceveju01,1,49,20,0,1,0,0,0,0,0.05,0.05,0.05,0.1
Terry Adams\adamste01,1,49,2,0,0,0,0,0,0,0,0,0,0
Benny Agbayani\agbaybe01,79/8D,101,276,42,79,14,42,6,32,0.286,0.363,0.525,0.888
Rick Aguilera\aguilri01,1,41,1,0,0,0,0,0,0,0,0,0,0
Rick Aguilera\aguilri01,1,41,1,0,0,0,0,0,0,0,0,0,0
Scott Aldred*\aldresc01,1,32,1,0,0,0,0,0,0,0,0,0,0
Scott Aldred*\aldresc01,1,3,0,0,0,0,0,0,0,,,,
Scott Aldred*\aldresc01,1,29,1,0,0,0,0,0,0,0,0,0,0
Manny Alexander\alexama02,654/9,90,177,17,48,0,15,4,10,0.271,0.309,0.356,0.664
Antonio Alfonseca\alfonan01,1,69,2,0,0,0,0,0,0,0,0,0,0
Edgardo Alfonzo\alfoned01,*4,158,628,123,191,27,108,9,85,0.304,0.385,0.502,0.886
Luis Alicea#\alicelu01,45/D7,68,164,33,33,3,17,2,28,0.201,0.316,0.317,0.633
Chad Allen\allench01,*7/D9,137,481,69,133,10,46,14,37,0.277,0.33,0.395,0.725
Jermaine Allensworth\allenje01,987,40,73,14,16,3,9,2,9,0.219,0.31,0.37,0.679
Armando Almanza*\almanar01,1,14,3,0,0,0,0,0,0,0,0,0,0
Carlos Almanzar\almanca01,1,27,1,0,0,0,0,0,0,0,0,0,0
Hector Almonte\almonhe01,1,15,0,0,0,0,0,0,0,,,,
Roberto Alomar#\alomaro01,*4/D,159,563,138,182,24,120,37,99,0.323,0.422,0.533,0.955
Sandy Alomar\alomasa02,2/D,37,137,19,42,6,25,0,4,0.307,0.322,0.533,0.855
Gabe Alvarez\alvarga01,D/95,22,53,5,11,2,4,0,3,0.208,0.25,0.377,0.627
Wilson Alvarez*\alvarwi01,1,2,3,0,0,0,0,0,0,0,0,0,0
Rich Amaral\amarari01,98D7/345,91,137,21,38,0,11,9,15,0.277,0.348,0.35,0.699
Brady Anderson*\anderbr01,*8D/7,150,564,109,159,24,81,36,96,0.282,0.404,0.477,0.881
Brian Anderson#\anderbr02,1,31,38,4,5,1,2,1,2,0.132,0.171,0.263,0.434
Garret Anderson*\anderga01,*87/9D,157,620,88,188,21,80,3,34,0.303,0.336,0.469,0.806
Jimmy Anderson*\anderji02,1,13,9,2,3,0,1,0,0,0.333,0.333,0.444,0.778
Marlon Anderson*\anderma02,*4,129,452,48,114,5,54,13,24,0.252,0.292,0.361,0.652
Shane Andrews\andresh01,53/D,117,348,41,68,16,51,1,50,0.195,0.295,0.368,0.662
