Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Jim Abbott*\abbotji01,2,8,6.91,20,15,0,82,110,14,42,37
Paul Abbott\abbotpa01,6,2,3.1,25,7,0,72.2,50,9,32,68
Juan Acevedo\aceveju01,6,8,5.89,50,12,4,102.1,115,17,48,52
Terry Adams\adamste01,6,3,4.02,52,0,13,65,60,9,28,57
Rick Aguilera\aguilri01,9,4,2.93,61,0,14,67.2,54,8,12,45
Rick Aguilera\aguilri01,3,1,1.27,17,0,6,21.1,10,2,2,13
Rick Aguilera\aguilri01,6,3,3.69,44,0,8,46.1,44,6,10,32
Scott Aldred*\aldresc01,4,3,4.45,66,0,1,56.2,59,2,29,41
Scott Aldred*\aldresc01,3,2,5.18,37,0,0,24.1,26,1,14,22
Scott Aldred*\aldresc01,1,1,3.9,29,0,1,32.1,33,1,15,19
Antonio Alfonseca\alfonan01,4,5,3.24,73,0,21,77.2,79,4,29,46
Armando Almanza*\almanar01,0,1,1.72,14,0,0,15.2,8,1,9,20
Carlos Almanzar\almanca01,0,0,7.47,28,0,0,37.1,48,6,15,30
Hector Almonte\almonhe01,0,2,4.2,15,0,0,15,20,1,6,8
Juan Alvarez*\alvarju01,0,1,3,8,0,0,3,1,0,4,4
Wilson Alvarez*\alvarwi01,9,9,4.22,28,28,0,160,159,22,79,128
Brian Anderson*\anderbr02,8,2,4.57,31,19,1,130,144,18,28,75
Jimmy Anderson*\anderji02,2,1,3.99,13,4,0,29.1,25,2,16,13
Matt Anderson\anderma01,2,1,5.68,37,0,0,38,33,8,35,32
Rick Ankiel*\ankieri01,0,1,3.27,9,5,1,33,26,2,14,39
Kevin Appier\appieke01,16,14,5.17,34,34,0,209,230,27,84,131
Kevin Appier\appieke01,9,9,4.87,22,22,0,140.1,153,18,51,78
Kevin Appier\appieke01,7,5,5.77,12,12,0,68.2,77,9,33,53
Tony Armas\armasto02,0,1,1.5,1,1,0,6,8,0,2,2
Jamie Arnold\arnolja01,2,4,5.48,36,3,1,69,81,6,34,26
Rolando Arrojo\arrojro01,7,12,5.18,24,24,0,140.2,162,23,60,107
Andy Ashby\ashbyan01,14,10,3.8,31,31,0,206,204,26,54,132
Paul Assenmacher*\assenpa01,2,1,8.18,55,0,0,33,50,6,17,29
Pedro Astacio\astacpe01,17,11,5.04,34,34,0,232,258,38,75,210
Steve Avery*\averyst01,6,7,5.16,19,19,0,96,75,11,78,51
Bobby Ayala\ayalabo01,1,7,3.51,66,0,0,82,71,10,39,79
Bobby Ayala\ayalabo01,1,6,3.68,53,0,0,66,60,6,34,64
Bobby Ayala\ayalabo01,0,1,2.81,13,0,0,16,11,4,5,15
Manny Aybar\aybarma01,4,5,5.47,65,1,3,97,104,13,36,74
James Baldwin\baldwja01,12,13,5.1,35,33,0,199.1,219,34,81,123
John Bale*\balejo01,0,0,13.5,1,0,0,2,2,1,2,4
Brian Barber\barbebr02,1,3,9.64,8,3,1,18.2,31,6,10,7
Richie Barker\barkeri01,0,0,7.2,5,0,0,5,6,0,4,3
Miguel Batista\batismi01,8,7,4.88,39,17,1,134.2,146,10,58,95
Rod Beck\beckro01,2,5,5.93,43,0,10,44,50,5,18,25
Rod Beck\beckro01,2,4,7.8,31,0,7,30,41,5,13,13
Rod Beck\beckro01,0,1,1.93,12,0,3,14,9,0,5,12
Tim Belcher\belchti01,6,8,6.73,24,24,0,132.1,168,27,46,52
Stan Belinda\belinst01,3,1,5.27,29,0,2,42.2,42,11,18,40
Rigo Beltran*\beltrri01,1,1,4.5,33,0,0,42,50,7,19,50
