Name,WAR
Jim Abbott*\abbotji01,-1.1
Paul Abbott\abbotpa01,2.4
Juan Acevedo\aceveju01,-0.7
Terry Adams\adamste01,0.4
Rick Aguilera\aguilri01,1.9
Scott Aldred*\aldresc01,0.7
Antonio Alfonseca\alfonan01,1.6
Armando Almanza*\almanar01,0.6
Carlos Almanzar\almanca01,-0.6
Hector Almonte\almonhe01,0.2
Juan Alvarez*\alvarju01,0.2
Wilson Alvarez*\alvarwi01,2.8
Brian Anderson*\anderbr02,1.3
Jimmy Anderson*\anderji02,0.4
Matt Anderson\anderma01,-0.2
Rick Ankiel*\ankieri01,1
Kevin Appier\appieke01,1.4
Tony Armas\armasto02,0
Jamie Arnold\arnolja01,-1
Rolando Arrojo\arrojro01,2.6
Andy Ashby\ashbyan01,2.9
Paul Assenmacher*\assenpa01,-0.9
Pedro Astacio\astacpe01,5.9
Steve Avery*\averyst01,-0.1
Bobby Ayala\ayalabo01,0.7
Manny Aybar\aybarma01,-1
James Baldwin\baldwja01,2.4
John Bale*\balejo01,-0.1
Brian Barber\barbebr02,-0.7
Richie Barker\barkeri01,-0.1
Miguel Batista\batismi01,0.3
Rod Beck\beckro01,-0.2
Tim Belcher\belchti01,-1.4
Stan Belinda\belinst01,-0.2
Rigo Beltran*\beltrri01,0.3
Alan Benes\benesal01,0.1
Andy Benes\benesan01,0.9
Armando Benitez\benitar01,3.3
Joel Bennett\bennejo02,-0.5
Shayne Bennett\bennesh01,-0.6
Kris Benson\bensokr01,2.3
Jason Bere\bereja01,-0.7
Sean Bergman\bergmse01,0.2
Brent Billingsley*\billibr01,-0.6
Willie Blair\blairwi01,-1.2
Doug Bochtler\bochtdo01,-0.1
Brian Boehringer\boehrbr01,1.5
Wade Boggs\boggswa01,0
Brian Bohanon*\bohanbr01,3.1
Ricky Bones\bonesri01,-0.2
Pedro Borbon*\borbope02,0.7
Dave Borkowski\borkoda01,-0.4
Ricky Bottalico\bottari01,-0.6
Kent Bottenfield\botteke01,3.1
Micah Bowie*\bowiemi01,-2
Jason Boyd\boydja02,0.1
Chad Bradford\bradfch01,-0.3
Jeff Brantley\brantje01,-0.2
Billy Brewer*\brewebi01,-0.4
Doug Brocail\brocado01,3.1
Chris Brock\brockch01,0
Jim Brower\broweji01,0.4
Kevin Brown\brownke01,6.2
Mark Brownson\brownma04,0.3
Will Brunson*\brunswi01,-0.1
Mike Buddie\buddimi01,0
Kirk Bullinger\bulliki01,0
Melvin Bunch\bunchme01,-0.4
Dave Burba\burbada01,3.7
John Burkett\burkejo03,1.3
A.J. Burnett\burnea.01,0.3
Mike Busby\busbymi01,-0.3
Paul Byrd\byrdpa01,1.4
Tim Byrdak*\byrdati01,-0.9
Jose Cabrera\cabrejo01,1.1
Mickey Callaway\callami01,-0.4
Tom Candiotti\candito01,-1.1
Dan Carlson\carlsda01,-0.2
Buddy Carlyle\carlybu01,-0.5
Rafael Carmona\carmora01,-0.2
Chris Carpenter\carpech01,2.2
Hector Carrasco\carrahe01,0.4
Lance Carter\cartela02,0
Carlos Castillo\castica02,0.2
Mike Cather\cathemi01,-0.1
Norm Charlton*\charlno01,0.5
Robinson Checo\checoro01,-0.7
Bruce Chen*\chenbr01,0
Jin Ho Cho\choji01,0
Bobby Chouinard\chouibo01,0.7
Jason Christiansen*\chrisja01,0.5
Mark Clark\clarkma01,-1.4
Roger Clemens\clemero02,2.9
Matt Clement\clemema01,0
Brad Clontz\clontbr01,0.9
Ken Cloude\cloudke01,-0.9
Bartolo Colon\colonba01,4.4
David Cone\coneda01,5.1
Dennis Cook*\cookde01,1
Brian Cooper\coopebr01,0.3
Rocky Coppinger\coppiro01,0.2
Archie Corbin\corbiar01,-0.5
Francisco Cordero\cordefr01,0.5
Francisco Cordova\cordofr01,2.3
Rheal Cormier*\cormirh01,0.5
Reid Cornelius\cornere01,0.4
Jim Corsi\corsiji01,0.3
David Cortes\corteda01,0
Tim Crabtree\crabtti01,1.7
Doug Creek*\creekdo01,-0.2
Rich Croushore\crousri01,-0.1
Nelson Cruz\cruzne01,0
Will Cunnane\cunnawi01,-0.3
Jeff D'Amico\d'amije01,0
Omar Daal*\daalom01,4.7
Carl Dale\daleca01,-0.4
Pat Daneker\danekpa01,0.2
Vic Darensbourg*\darenvi01,-1.5
Joe Davenport\davenjo01,0.1
Tom Davey\daveyto01,0.2
Doug Davis*\davisdo02,-0.4
Valerio De Los Santos*\delosva01,-0.1
Rick DeHart*\deharri01,-0.2
Mike DeJean\dejeami01,-1.1
Miguel Del Toro\deltomi01,0.2
Rich DeLucia\delucri01,0
Ryan Dempster\dempsry01,1.5
Sean DePaula\depause01,0.2
Jerry Dipoto\dipotje01,2.8
Octavio Dotel\doteloc01,0.2
Jim Dougherty\doughji01,-0.3
Darren Dreifort\dreifda01,0.6
Chad Durbin\durbich01,0.1
Mike Duvall*\duvalmi01,0.7
Derrin Ebert*\ebertde01,-0.1
Brian Edmondson\edmonbr01,-1.4
Dave Eiland\eilanda01,0.3
Scott Elarton\elartsc01,2
Cal Eldred\eldreca01,-1.7
Alan Embree*\embreal01,1.4
Todd Erdos\erdosto01,0
Scott Erickson\ericksc01,2.1
Kelvim Escobar\escobke01,0.4
Shawn Estes*\estessh01,0.9
Horacio Estrada*\estraho01,-0.1
Scott Eyre*\eyresc01,-0.3
Brian Falkenborg\falkebr01,0.2
Steve Falteisek\faltest01,-0.3
Kyle Farnsworth\farnsky01,0.3
Jeff Fassero*\fasseje01,-1.4
Alex Fernandez\fernaal01,2.9
Mike Fetters\fettemi01,-0.3
Chuck Finley*\finlech01,2.6
Bryce Florie\floribr01,0.4
Tony Fossas*\fossato01,-0.2
Keith Foulke\foulkke01,4.4
Chad Fox\foxch02,-0.4
John Franco*\francjo01,1
Matt Franco\francma01,-0.1
Ryan Franklin\frankry01,0.1
John Frascatore\frascjo01,1
Chris Fussell\fussech01,-1.1
Mike Fyhrie\fyhrimi01,0.2
Gary Gaetti\gaettga01,-0.1
Eric Gagne\gagneer01,1.1
Eddie Gaillard\gailled01,-0.2
Rich Garces\garceri01,1.6
