Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Jeff Abbott\abbotje01,879/D,80,215,31,59,3,29,2,21,0.274,0.343,0.395,0.738
Kurt Abbott\abbotku01,64/58,79,157,22,34,6,12,1,14,0.217,0.283,0.389,0.672
Paul Abbott\abbotpa01,1,2,5,1,2,0,0,0,0,0.4,0.4,0.6,1
Bobby Abreu*\abreubo01,*9,154,576,103,182,25,79,28,100,0.316,0.416,0.554,0.97
Juan Acevedo\aceveju01,1,60,1,1,0,0,0,0,1,0,0.5,0,0.5
Terry Adams\adamste01,1,63,2,0,0,0,0,0,0,0,0,0,0
Benny Agbayani\agbaybe01,*79/8D,119,350,59,101,15,60,5,54,0.289,0.391,0.477,0.868
Rick Aguilera\aguilri01,1,50,0,0,0,0,0,0,0,,,,
Israel Alcantara\alcanis01,/D937,21,45,9,13,4,7,0,3,0.289,0.333,0.578,0.911
Scott Aldred*\aldresc01,1,23,0,0,0,0,0,0,0,,,,
Manny Alexander\alexama02,56/4D,101,194,30,41,4,19,2,13,0.211,0.261,0.325,0.586
Antonio Alfonseca\alfonan01,1,66,0,0,0,0,0,0,0,,,,
Edgardo Alfonzo\alfoned01,*4/D,150,544,109,176,25,94,3,95,0.324,0.425,0.542,0.967
Luis Alicea#\alicelu01,*4/5D6,139,540,85,159,6,63,1,59,0.294,0.365,0.404,0.769
Chad Allen\allench01,42985,15,50,2,15,0,7,0,3,0.3,0.345,0.36,0.705
Dusty Allen\allendu01,3/75D9,27,28,5,7,2,2,0,4,0.25,0.344,0.536,0.879
Dusty Allen\allendu01,/73D,9,12,0,0,0,0,0,2,0,0.143,0,0.143
Dusty Allen\allendu01,3/579,18,16,5,7,2,2,0,2,0.438,0.5,0.938,1.438
Armando Almanza*\almanar01,1,64,1,0,0,0,0,0,0,0,0,0,0
Carlos Almanzar\almanca01,1,59,3,0,0,0,0,0,0,0,0,0,0
Roberto Alomar#\alomaro01,*4,155,610,111,189,19,89,39,64,0.31,0.378,0.475,0.853
Sandy Alomar\alomasa02,2/D,97,356,44,103,7,42,2,16,0.289,0.324,0.404,0.728
Moises Alou\aloumo01,*97/D,126,454,82,161,30,114,3,52,0.355,0.416,0.623,1.039
Clemente Alvarez\alvarcl01,/2,2,5,1,1,0,0,0,0,0.2,0.2,0.2,0.4
Gabe Alvarez\alvarga01,/57D,12,14,1,2,0,0,0,3,0.143,0.294,0.214,0.508
Gabe Alvarez\alvarga01,/D,1,1,0,0,0,0,0,2,0,0.667,0,0.667
Gabe Alvarez\alvarga01,/57,11,13,1,2,0,0,0,1,0.154,0.214,0.231,0.445
Rich Amaral\amarari01,8/D973,30,60,10,13,0,6,6,7,0.217,0.299,0.267,0.565
