Name,WAR
Paul Abbott\abbotpa01,2.6
Juan Acevedo\aceveju01,0.9
Terry Adams\adamste01,0.6
Rick Aguilera\aguilri01,-0.2
Scott Aldred*\aldresc01,-0.1
Antonio Alfonseca\alfonan01,0.5
Armando Almanza*\almanar01,0
Carlos Almanzar\almanca01,0.4
Juan Alvarez*\alvarju01,-0.3
Brian Anderson*\anderbr02,4.1
Jimmy Anderson*\anderji02,0.9
Matt Anderson\anderma01,0.2
Clayton Andrews*\andrecl01,-0.6
Rick Ankiel*\ankieri01,3.3
Kevin Appier\appieke01,2.8
Tony Armas\armasto02,1.8
Jamie Arnold\arnolja01,-0.6
Rolando Arrojo\arrojro01,1
Bronson Arroyo\arroybr01,-1
Andy Ashby\ashbyan01,0.5
Pedro Astacio\astacpe01,3.1
Manny Aybar\aybarma01,0.4
James Baldwin\baldwja01,2.8
John Bale*\balejo01,-0.2
Lorenzo Barcelo\barcelo01,0.8
Miguel Batista\batismi01,-1.8
Rod Beck\beckro01,1.1
Kevin Beirne\beirnke01,-0.4
Tim Belcher\belchti01,-0.3
Stan Belinda\belinst01,-1.1
Todd Belitz*\belitto01,0
Derek Bell\bellde01,-0.1
Rob Bell\bellro01,0.4
Rigo Beltran*\beltrri01,-0.3
Alan Benes\benesal01,-0.4
Andy Benes\benesan01,1
Armando Benitez\benitar01,2.4
Kris Benson\bensokr01,5.1
Jason Bere\bereja01,0.4
Sean Bergman\bergmse01,-1.6
Adam Bernero\bernead01,0.5
Rocky Biddle\biddlro01,-0.6
Willie Blair\blairwi01,1.3
Matt Blank*\blankma01,0.2
Doug Bochtler\bochtdo01,-0.1
Brian Boehringer\boehrbr01,-0.4
Tim Bogar\bogarti01,0
Brian Bohanon*\bohanbr01,3.1
Ricky Bones\bonesri01,0.2
Pedro Borbon*\borbope02,-0.8
Dave Borkowski\borkoda01,-0.5
Ricky Bottalico\bottari01,0.6
Kent Bottenfield\botteke01,1.5
Jason Boyd\boydja02,-0.6
Chad Bradford\bradfch01,0.4
Jeff Brantley\brantje01,-0.6
Leslie Brea\breale01,-0.3
Jamie Brewington\brewija01,0.2
Doug Brocail\brocado01,0.6
Chris Brock\brockch01,0.9
Jim Brower\broweji01,0.1
Kevin Brown\brownke01,7.2
Mark Brownson\brownma04,-0.1
Justin Brunette*\bruneju01,0
Jim Bruske\bruskji01,-0.5
Mike Buddie\buddimi01,0.1
Mark Buehrle*\buehrma01,0.6
Kirk Bullinger\bulliki01,0
Dave Burba\burbada01,3.7
John Burkett\burkejo03,0.6
A.J. Burnett\burnea.01,0.7
Paul Byrd\byrdpa01,-1.2
Tim Byrdak*\byrdati01,-0.5
Jose Cabrera\cabrejo01,0
Cameron Cairncross*\cairnca01,0.2
Eric Cammack\cammaer01,0
Buddy Carlyle\carlybu01,-0.2
Chris Carpenter\carpech01,-0.2
Giovanni Carrara\carragi01,-0.6
Hector Carrasco\carrahe01,0.9
Frank Castillo\castifr01,4
Norm Charlton*\charlno01,-0.3
Bruce Chen*\chenbr01,3
Randy Choate*\choatra01,0.1
Bobby Chouinard\chouibo01,0.5
Jason Christiansen*\chrisja01,-0.1
Mark Clark\clarkma01,-0.7
Roger Clemens\clemero02,4.6
Matt Clement\clemema01,-0.1
Brad Clontz\clontbr01,0
Pasqual Coco\cocopa01,-0.1
Dave Coggin\coggida01,-0.2
Bartolo Colon\colonba01,4.8
David Cone\coneda01,-0.9
Dennis Cook*\cookde01,-0.3
Brian Cooper\coopebr01,-0.5
Francisco Cordero\cordefr01,0.2
Francisco Cordova\cordofr01,0.6
Rheal Cormier*\cormirh01,0.2
Reid Cornelius\cornere01,0.7
Tim Crabtree\crabtti01,0.4
Paxton Crawford\crawfpa02,0.5
Doug Creek*\creekdo01,0.6
Jack Cressend\cressja01,0.1
Rich Croushore\crousri01,-0.2
Nelson Cruz\cruzne01,1.2
Darwin Cubillan\cubilda01,-0.7
Will Cunnane\cunnawi01,0.2
Jeff D'Amico\d'amije02,-0.3
Jeff D'Amico\d'amije01,5
Omar Daal*\daalom01,-1.4
Vic Darensbourg*\darenvi01,0.4
Tom Davey\daveyto01,0.7
Doug Davis*\davisdo02,1.4
Kane Davis\daviska01,-0.9
Valerio De Los Santos*\delosva01,0
Mike DeJean\dejeami01,0.7
Miguel Del Toro\deltomi01,0
Ryan Dempster\dempsry01,4.2
Sean DePaula\depause01,0
Elmer Dessens\desseel01,1.7
Matt DeWitt\dewitma01,-0.3
Jason Dickson\dicksja01,-0.2
Craig Dingman\dingmcr01,0
Jerry Dipoto\dipotje01,0.3
Octavio Dotel\doteloc01,1.1
Scott Downs*\downssc01,0.1
Darren Dreifort\dreifda01,1.6
Tim Drew\drewti01,-0.4
Chad Durbin\durbich01,-1.5
Mike Duvall*\duvalmi01,-0.1
Adam Eaton\eatonad01,2.4
Dave Eiland\eilanda01,-0.6
Darrell Einertson\einerda01,0
Scott Elarton\elartsc01,2.6
Cal Eldred\eldreca01,1.9
Alan Embree*\embreal01,0
Trevor Enders*\endertr01,-0.5
Todd Erdos\erdosto01,-0.2
Scott Erickson\ericksc01,-1.2
Kelvim Escobar\escobke01,0.9
Shawn Estes*\estessh01,2
Horacio Estrada*\estraho01,-0.2
Leo Estrella\estrele01,0
Seth Etherton\etherse01,0.3
Scott Eyre*\eyresc01,-0.1
Kyle Farnsworth\farnsky01,-1.1
Jeff Fassero*\fasseje01,1.7
Alex Fernandez\fernaal01,0.7
Osvaldo Fernandez\fernaos01,1.9
Mike Fetters\fettemi01,1.1
Nelson Figueroa\figuene01,-0.1
Chuck Finley*\finlech01,4.5
Tony Fiore\fioreto01,-0.5
Bryce Florie\floribr01,0.1
Ben Ford\fordbe01,-0.2
Scott Forster*\forstsc01,-0.8
Keith Foulke\foulkke01,3
John Franco*\francjo01,0.8
Wayne Franklin*\frankwa01,0
John Frascatore\frascjo01,-0.4
Aaron Fultz*\fultzaa01,0.1
Chris Fussell\fussech01,-0.3
Mike Fyhrie\fyhrimi01,1.6
Eric Gagne\gagneer01,0.4
Rich Garces\garceri01,2
Freddy Garcia\garcifr03,1.7
Mike Garcia\garcimi03,-0.9
Mark Gardner\gardnma01,1.6
Daniel Garibay*\garibda01,-0.7
Jon Garland\garlajo01,-0.5
Matt Ginter\gintema01,-0.4
Keith Glauber\glaubke01,0.1
Tom Glavine*\glavito02,4.9
Ryan Glynn\glynnry01,0.5
Wayne Gomes\gomeswa01,0.2
Dwight Gooden\goodedw01,0.7
Danny Graves\graveda01,2.9
Jason Green\greenja01,-0.4
Jason Grilli\grillja01,0
Jason Grimsley\grimsja01,0.5
Buddy Groom*\groombu01,-0.1
Kip Gross\grosski01,-0.4
Eddie Guardado*\guarded01,1.8
Eric Gunderson*\gundeer01,-0.1
Mark Guthrie*\guthrma01,0.3
Domingo Guzman\guzmado01,0
Geraldo Guzman\guzmage01,0.7
Juan Guzman\guzmaju01,-0.4
Luther Hackman\hackmlu01,-0.1
John Halama*\halamjo01,0.1
Roy Halladay\hallaro01,-2.8
Shane Halter\haltesh01,
Joey Hamilton\hamiljo02,1.2
Mike Hampton*\hamptmi01,4.7
Chris Haney*\haneych01,0
Pete Harnisch\harnipe01,1.1
Travis Harper\harpetr01,0.6
Shigetoshi Hasegawa\hasegsh01,1.7
LaTroy Hawkins\hawkila01,3
Jimmy Haynes\hayneji01,0.1
Rick Helling\helliri01,4.2
Doug Henry\henrydo01,1.2
Pat Hentgen\hentgpa01,1.7
Felix Heredia*\heredfe01,0.4
Gil Heredia\heredgi01,3.4
Matt Herges\hergema01,2.1
Dustin Hermanson\hermadu01,1.3
Livan Hernandez\hernali01,3.4
Orlando Hernandez\hernaor01,3.2
Roberto Hernandez\hernaro01,1.5
Orel Hershiser\hershor01,-1.8
Erik Hiljus\hiljuer01,0
Ken Hill\hillke01,-0.8
Brett Hinchliffe\hinchbr01,0
Sterling Hitchcock*\hitchst01,0.3
Kevin Hodges\hodgeke01,0.1
Trevor Hoffman\hoffmtr01,1.3
Darren Holmes\holmeda01,-1
Chris Holt\holtch01,2.2
Mike Holtz*\holtzmi01,0
Mark Holzemer*\holzema01,-0.7
Craig House\housecr01,-0.1
Bob Howry\howrybo01,2.2
Tim Hudson\hudsoti01,4
Hideki Irabu\irabuhi01,-0.5
Jason Isringhausen\isrinja01,1.2
Thomas Jacquez*\jacquth01,-0.6
Mike James\jamesmi01,0.7
Kevin Jarvis\jarvike01,0.6
Jose Jimenez\jimenjo01,2.5
Jason Johnson\johnsja02,-1.8
Jonathan Johnson\johnsjo08,-0.2
Mark Johnson\johnsma05,-0.5
Mike Johnson\johnsmi02,-0.3
Randy Johnson*\johnsra05,8.1
John Johnstone\johnsjo07,-0.7
Bobby Jones\jonesbo03,0.7
Bobby Jones*\jonesbo04,0.1
Doug Jones\jonesdo01,1.3
Marcus Jones\jonesma02,-0.1
Todd Jones\jonesto02,1.2
Mike Judd\juddmi01,-0.3
Scott Kamieniecki\kamiesc01,-0.4
Matt Karchner\karchma01,-0.2
Scott Karl*\karlsc01,-1.1
Steve Karsay\karsast01,1.8
Randy Keisler*\keislra01,-0.4
Masao Kida\kidama01,-0.1
Darryl Kile\kileda01,3.7
Byung-Hyun Kim\kimby01,0.4
Ray King*\kingra01,1.1
Matt Kinney\kinnema01,0.6
Steve Kline*\klinest02,1.8
Billy Koch\kochbi01,2.5
Ryan Kohlmeier\kohlmry01,0.9
Brandon Kolb\kolbbr01,0
Danny Kolb\kolbda01,-0.2
Yovanny Lara\larayo01,0
Andy Larkin\larkian01,-0.8
Brett Laxton\laxtobr01,-0.2
David Lee\leeda01,-0.4
Sang-Hoon Lee*\leesa01,0.3
Al Leiter*\leiteal01,4.8
Curt Leskanic\leskacu01,2.3
Al Levine\levinal01,1.5
Allen Levrault\levraal01,0
Cory Lidle\lidleco01,0.5
Jon Lieber\liebejo01,3.7
Kerry Ligtenberg\ligteke01,1
Ted Lilly*\lillyte01,0
Jose Lima\limajo01,-0.3
Mike Lincoln\lincomi01,-0.6
Scott Linebrink\linebsc01,0
Felipe Lira\lirafe01,-0.4
Esteban Loaiza\loaizes01,3.8
Rich Loiselle\loiseri01,0.1
Braden Looper\loopebr01,-0.4
Albie Lopez\lopezal02,3.3
Rodrigo Lopez\lopezro02,-0.7
Andrew Lorraine*\lorraan01,-0.2
Derek Lowe\lowede01,3.5
Sean Lowe\lowese01,0.1
Larry Luebbers\luebbla01,-0.4
John Mabry\mabryjo01,-0.1
Greg Maddux\maddugr01,6.6
Mike Maddux\maddumi01,-0.1
Calvin Maduro\madurca01,-0.8
Mike Magnante*\magnami01,0.5
Ron Mahay*\mahayro01,-0.6
Pat Mahomes\mahompa01,-0.9
Oswaldo Mairena*\maireos01,-0.1
Jim Mann\mannji01,-0.1
Matt Mantei\mantema01,0.4
Josias Manzanillo\manzajo01,1.6
Jason Marquis\marquja01,-0.2
Tom Martin*\martito02,0.5
Pedro Martinez\martipe02,11.7
Ramon Martinez\martira02,-0.3
Willie Martinez\martiwi01,0.1
Onan Masaoka*\masaoon01,0.4
T.J. Mathews\mathet.01,0
Mike Matthews*\matthmi01,-0.5
Dave Maurer*\maureda01,0.2
Brent Mayne\maynebr01,0.1
Joe Mays\maysjo01,2.2
Allen McDill*\mcdilal01,-0.2
Chuck McElroy*\mcelrch01,0.6
Kevin McGlinchy\mcglike01,0.1
Tony McKnight\mcknito01,0.7
Greg McMichael\mcmicgr01,0.1
Rusty Meacham\meachru01,-0.1
Brian Meadows\meadobr01,0.8
Gil Meche\mechegi01,1.9
Jim Mecir\mecirji01,2.4
Ramiro Mendoza\mendora01,1.6
Frank Menechino\menecfr01,-0.1
Hector Mercado*\mercahe01,0.1
