Name,WAR
,
Jim Abbott*\abbotji01,0.5
Paul Abbott\abbotpa01,0.6
Juan Acevedo\aceveju01,3
Terry Adams\adamste01,0.2
Joel Adamson*\adamsjo02,-0.6
Rick Aguilera\aguilri01,2.1
Scott Aldred*\aldresc01,0.6
Antonio Alfonseca\alfonan01,0.1
Carlos Almanzar\almanca01,0
Wilson Alvarez*\alvarwi01,1.2
Brian Anderson*\anderbr02,1.5
Matt Anderson\anderma01,1.1
Luis Andujar\andujlu01,-0.2
Kevin Appier\appieke01,-0.2
Rolando Arrojo\arrojro01,4.1
Andy Ashby\ashbyan01,4.8
Paul Assenmacher*\assenpa01,0.8
Pedro Astacio\astacpe01,-0.7
Steve Avery*\averyst01,0.2
Bobby Ayala\ayalabo01,-2.1
Manny Aybar\aybarma01,-0.8
Scott Bailes*\bailesc01,-0.5
Cory Bailey\baileco01,0
James Baldwin\baldwja01,0.1
Willie Banks\bankswi01,-0.3
Travis Baptist*\baptitr01,0.1
Brian Barber\barbebr02,0.2
Brian Barkley*\barklbr01,-0.5
Manuel Barrios\barrima01,0.1
Miguel Batista\batismi01,1
Rod Beck\beckro01,1.6
Matt Beech*\beechma01,-0.7
Tim Belcher\belchti01,3.3
Stan Belinda\belinst01,1.2
Rigo Beltran*\beltrri01,0.2
Andy Benes\benesan01,3.1
Armando Benitez\benitar01,1.2
Joel Bennett\bennejo02,0
Shayne Bennett\bennesh01,-1.2
Jason Bere\bereja01,-0.7
Sean Bergman\bergmse01,2.3
Brian Bevil\bevilbr01,-0.3
Willie Blair\blairwi01,0.4
Doug Bochtler\bochtdo01,-0.5
Brian Boehringer\boehrbr01,0.4
Brian Bohanon*\bohanbr01,3.2
Ricky Bones\bonesri01,1.4
Toby Borland\borlato02,0
Joe Borowski\borowjo01,-0.1
Shawn Boskie\boskish01,-0.9
Ricky Bottalico\bottari01,-0.8
Kent Bottenfield\botteke01,0.9
Chad Bradford\bradfch01,0.3
Ryan Bradley\bradlry01,-0.1
Jeff Brantley\brantje01,0
Billy Brewer*\brewebi01,-0.4
Doug Brocail\brocado01,1.5
Chris Brock\brockch01,0.1
Scott Brow\browsc01,-0.5
Kevin Brown\brownke01,8.6
Mark Brownson\brownma04,0.3
Will Brunson*\brunswi01,0.1
Jim Bruske\bruskji01,0.9
Mike Buddie\buddimi01,-0.4
Jim Bullinger\bulliji01,-0.3
Kirk Bullinger\bulliki01,-0.4
Dave Burba\burbada01,3.7
John Burkett\burkejo03,0.4
Mike Busby\busbymi01,0.2
Adam Butler*\butlead01,-0.5
Paul Byrd\byrdpa01,1.7
Tim Byrdak*\byrdati01,0
Jose Cabrera\cabrejo01,-0.1
Greg Cadaret*\cadargr01,1
Tom Candiotti\candito01,2
Dan Carlson\carlsda01,-0.4
Chris Carpenter\carpech01,1.9
Hector Carrasco\carrahe01,1.5
Larry Casian*\casiala01,-0.2
Carlos Castillo\castica02,-0.1
Frank Castillo\castifr01,-1.5
Tony Castillo*\castito02,-0.6
Mike Cather\cathemi01,-0.1
Norm Charlton*\charlno01,-0.2
Robinson Checo\checoro01,-0.3
Bruce Chen*\chenbr01,0.1
Jin Ho Cho\choji01,-0.4
Bobby Chouinard\chouibo01,-0.1
Jason Christiansen*\chrisja01,1.7
Mark Clark\clarkma01,1.9
Roger Clemens\clemero02,8.2
Matt Clement\clemema01,0
Brad Clontz\clontbr01,-0.3
Ken Cloude\cloudke01,-0.8
Bartolo Colon\colonba01,4.4
David Cone\coneda01,4
Steve Connelly\connest01,0.2
Dennis Cook*\cookde01,2
Steve Cooke*\cookest01,0.3
