Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Jim Bullinger\bulliji01,0,1,15.88,2,1,0,5.2,13,3,2,4
Kirk Bullinger\bulliki01,1,0,9,8,0,0,7,14,1,0,2
Dave Burba\burbada01,15,10,4.11,32,31,0,203.2,210,30,69,132
John Burkett\burkejo03,9,13,5.68,32,32,0,195,230,19,46,131
Mike Busby\busbymi01,5,2,4.5,26,2,0,46,45,3,15,33
Adam Butler*\butlead01,0,1,10.8,8,0,0,5,5,1,6,7
Paul Byrd\byrdpa01,5,2,2.68,9,8,0,57,45,6,18,39
Paul Byrd\byrdpa01,0,0,13.5,1,0,0,2,4,0,1,1
Paul Byrd\byrdpa01,5,2,2.29,8,8,0,55,41,6,17,38
Tim Byrdak*\byrdati01,0,0,5.4,3,0,0,1.2,5,1,0,1
Jose Cabrera\cabrejo01,0,0,8.31,3,0,0,4.1,7,0,1,1
Greg Cadaret*\cadargr01,1,2,4.23,50,0,1,44.2,49,7,18,42
Greg Cadaret*\cadargr01,1,2,4.14,39,0,1,37,38,6,15,37
Greg Cadaret*\cadargr01,0,0,4.7,11,0,0,7.2,11,1,3,5
Tom Candiotti\candito01,11,16,4.84,33,33,0,201,222,30,63,98
Dan Carlson\carlsda01,0,0,7.64,10,0,0,17.2,25,3,8,16
Chris Carpenter\carpech01,12,7,4.37,33,24,0,175,177,18,61,136
Hector Carrasco\carrahe01,4,2,4.38,63,0,1,61.2,75,4,31,46
Larry Casian*\casiala01,0,0,11.25,4,0,0,4,8,0,1,6
Carlos Castillo\castica02,6,4,5.11,54,2,0,100.1,94,17,35,64
Frank Castillo\castifr01,3,9,6.83,27,19,1,116,150,17,44,81
Tony Castillo*\castito02,1,2,8,25,0,0,27,38,7,11,14
Mike Cather\cathemi01,2,2,3.92,36,0,0,41.1,39,7,12,33
Norm Charlton*\charlno01,2,1,5.44,49,0,1,48,53,5,33,47
Norm Charlton*\charlno01,2,1,6.94,36,0,0,35,46,5,25,41
Norm Charlton*\charlno01,0,0,1.38,13,0,1,13,7,0,8,6
Robinson Checo\checoro01,0,2,9.39,2,2,0,7.2,11,3,5,5
Bruce Chen*\chenbr01,2,0,3.98,4,4,0,20.1,23,3,9,17
Jin Ho Cho\choji01,0,3,8.2,4,4,0,18.2,28,4,3,15
Bobby Chouinard\chouibo01,0,2,4.14,27,2,0,41.1,46,5,11,27
Bobby Chouinard\chouibo01,0,0,3,1,0,0,3,5,0,0,1
Bobby Chouinard\chouibo01,0,2,4.23,26,2,0,38.1,41,5,11,26
Jason Christiansen*\chrisja01,3,3,2.51,60,0,6,64.2,51,2,27,71
Mark Clark\clarkma01,9,14,4.84,33,33,0,213.2,236,23,48,161
Roger Clemens\clemero02,20,6,2.65,33,33,0,234.2,169,11,88,271
Matt Clement\clemema01,2,0,4.61,4,2,0,13.2,15,0,7,13
Brad Clontz\clontbr01,2,0,6.08,20,0,0,23.2,19,4,12,16
Brad Clontz\clontbr01,2,0,5.66,18,0,0,20.2,15,3,10,14
Brad Clontz\clontbr01,0,0,9,2,0,0,3,4,1,2,2
Ken Cloude\cloudke01,8,10,6.37,30,30,0,155.1,187,29,80,114
Bartolo Colon\colonba01,14,9,3.71,31,31,0,204,205,15,79,158
David Cone\coneda01,20,7,3.55,31,31,0,207.2,186,20,59,209
Steve Connelly\connest01,0,0,1.93,3,0,0,4.2,10,0,4,1
Dennis Cook*\cookde01,8,4,2.38,73,0,1,68,60,5,27,79
Steve Cooke*\cookest01,1,0,1.5,1,1,0,6,4,0,0,3
Rocky Coppinger\coppiro01,0,0,5.17,6,1,0,15.2,16,3,7,13
Francisco Cordova\cordofr01,13,14,3.31,33,33,0,220.1,204,22,69,157
Bryan Corey\coreybr01,0,0,9,3,0,0,4,6,1,2,1
Jim Corsi\corsiji01,3,2,2.59,59,0,0,66,58,6,23,49
Tim Crabtree\crabtti01,6,1,3.59,64,0,0,85.1,86,3,35,60
Rich Croushore\crousri01,0,3,4.97,41,0,8,54.1,44,6,29,47
Dean Crow\crowde01,2,2,3.94,32,0,0,45.2,55,6,16,18
Will Cunnane\cunnawi01,0,0,6,3,0,0,3,4,1,1,1
Omar Daal*\daalom01,8,12,2.88,33,23,0,162.2,146,12,51,132
Vic Darensbourg*\darenvi01,0,7,3.68,59,0,1,71,52,5,30,74
Danny Darwin\darwida01,8,10,5.51,33,25,0,148.2,176,23,49,81
Valerio De Los Santos*\delosva01,0,0,2.91,13,0,0,21.2,11,4,2,18
Rick DeHart*\deharri01,0,0,4.82,26,0,1,28,34,3,13,14
Mike DeJean\dejeami01,3,1,3.03,59,1,2,74.1,78,4,24,27
Rich DeLucia\delucri01,2,6,4.27,61,0,3,71.2,56,10,46,73
Ryan Dempster\dempsry01,1,5,7.08,14,11,0,54.2,72,6,38,35
Elmer Dessens\desseel01,2,6,5.67,43,5,0,74.2,90,10,25,43
Jason Dickson\dicksja01,10,10,6.05,27,18,0,122,147,17,41,61
Jerry Dipoto\dipotje01,3,4,3.53,68,0,19,71.1,61,8,25,49
Robert Dodd*\doddro01,1,0,7.2,4,0,0,5,7,1,1,4
Jim Dougherty\doughji01,0,2,8.25,9,0,0,12,17,2,7,3
