Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Juan Acevedo\aceveju01,3,1,3.59,25,2,0,47.2,52,6,22,33
Mark Acre\acrema01,2,0,5.74,15,0,0,15.2,21,1,8,12
Terry Adams\adamste01,2,9,4.62,74,0,18,74,91,3,40,64
Willie Adams\adamswi02,3,5,8.18,13,12,0,58.1,73,9,32,37
Joel Adamson*\adamsjo02,5,3,3.54,30,6,0,76.1,78,13,19,56
Rick Aguilera\aguilri01,5,4,3.82,61,0,26,68.1,65,9,22,68
Jose Alberro\alberjo01,0,3,7.94,10,4,0,28.1,37,4,17,11
Scott Aldred*\aldresc01,2,10,7.68,17,15,0,77.1,102,20,28,33
Antonio Alfonseca\alfonan01,1,3,4.91,17,0,0,25.2,36,3,10,19
Carlos Almanzar\almanca01,0,1,2.7,4,0,0,3.1,1,1,1,4
Wilson Alvarez*\alvarwi01,13,11,3.48,33,33,0,212,180,18,91,179
Wilson Alvarez*\alvarwi01,9,8,3.03,22,22,0,145.2,126,9,55,110
Wilson Alvarez*\alvarwi01,4,3,4.48,11,11,0,66.1,54,9,36,69
Brian Anderson*\anderbr02,4,2,4.69,8,8,0,48,55,7,11,22
Luis Andujar\andujlu01,0,6,6.48,17,8,0,50,76,9,21,28
Kevin Appier\appieke01,9,13,3.4,34,34,0,235.2,215,24,74,196
Rene Arocha\arochre01,0,0,11.32,6,0,0,10.1,17,2,5,7
Andy Ashby\ashbyan01,9,11,4.13,30,30,0,200.2,207,17,49,144
Paul Assenmacher*\assenpa01,5,0,2.94,75,0,4,49,43,5,15,53
Pedro Astacio\astacpe01,12,10,4.14,33,31,0,202.1,200,24,61,166
Pedro Astacio\astacpe01,7,9,4.1,26,24,0,153.2,151,15,47,115
Pedro Astacio\astacpe01,5,1,4.25,7,7,0,48.2,49,9,14,51
Steve Avery*\averyst01,6,7,6.42,22,18,0,96.2,127,15,49,51
Bobby Ayala\ayalabo01,10,5,3.82,71,0,8,96.2,91,14,41,92
Manny Aybar\aybarma01,2,4,4.24,12,12,0,68,66,8,29,41
