Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO,WAR 2002
Aaron Small\smallaa01,15,10,5.23,138,3,4,201.1,241,19,92,112,0
Tom Martin\martito02,8,5,5.32,120,0,2,130.1,149,14,63,86,-0.1
Will Cunnane\cunnawi01,9,8,5.35,139,12,0,215.1,253,28,105,173,-0.1
Todd Williams\willito02,3,3,5.37,50,0,0,53.2,67,6,29,32,0.9
C.J. Nitkowski\nitkoc.01,16,30,5.37,270,44,3,419.1,446,53,224,300,0.4
Joe Roa\roajo01,2,6,5.4,30,4,0,73.1,99,9,25,34,0.4
Trever Miller\milletr02,5,6,5.43,105,5,2,136,170,16,70,86,0.5
Brian Meadows\meadobr01,36,44,5.45,105,104,0,599.1,743,95,179,260,0.8
Robert Ellis\ellisro02,6,5,5.47,22,17,0,97,106,12,38,46,-0.1
Jimmy Haynes\hayneji01,46,64,5.48,170,147,1,894.2,1004,110,456,579,2.5
Dave Maurer\maureda01,1,0,5.49,17,0,0,19.2,23,3,9,17,-0.1
Todd Van Poppel\vanpoto01,30,43,5.5,245,82,3,670.2,677,99,385,520,0.3
Pat Mahomes\mahompa01,41,37,5.57,283,60,5,654,683,111,363,416,0.4
Chris Nichting\nichtch01,0,3,5.59,63,0,1,75.2,104,9,26,53,0.3
Julio Santana\santaju01,11,21,5.71,123,42,0,371.2,427,55,176,217,1.6
Matt DeWitt\dewitma01,1,2,5.79,24,0,0,32.2,42,6,19,19,0.2
Leo Estrella\estrele01,0,0,5.79,2,0,0,4.2,9,1,0,3,0.8
Kevin Tolar\tolarke01,0,0,5.93,14,0,0,13.2,8,0,14,14,-0.2
Peter Munro\munrope01,1,3,6,40,5,0,81,108,7,39,54,1.4
Dan Serafini\serafda01,14,13,6.06,91,29,1,233.1,294,32,102,114,-0.5
Pete Walker\walkepe01,1,0,6.07,19,0,0,29.2,40,4,12,12,0
Dan Smith\smithda07,4,9,6.1,22,17,0,93,106,12,42,73,0.7
Jason Boyd\boydja02,0,1,6.13,34,0,0,39.2,44,2,26,36,-1.3
Andrew Lorraine\lorraan01,6,10,6.18,54,25,0,163,196,24,77,103,-0.6
Ryan Glynn\glynnry01,8,16,6.42,41,35,0,189.1,237,32,102,87,0.4
Brian Powell\powelbr01,5,10,6.48,28,22,0,118,140,26,52,63,0.3
Nerio Rodriguez\rodrine01,4,6,6.49,29,7,0,68,76,7,34,36,0
Everett Stull\stullev01,2,4,6.65,24,4,0,47.1,50,8,36,35,-0.1
Jamie Walker\walkeja01,3,4,6.71,56,2,0,60.1,76,11,23,39,0.8
Brian Shouse\shousbr01,0,1,6.75,13,0,0,12,16,3,6,8,0.1
Kirk Bullinger\bulliki01,1,0,7.3,15,0,0,12.1,20,1,2,6,-0.2
David Lundquist\lundqda01,1,2,7.34,34,0,0,41.2,48,4,19,37,-0.4
Matt Miller\millema01,0,0,7.45,13,0,0,9.2,16,0,4,6,-0.2
Kevin Beirne\beirnke01,1,3,7.46,34,1,0,56.2,63,10,26,46,0.3
Gabe Molina\molinga01,1,2,7.58,31,0,0,38,50,7,26,23,0.3
Jonathan Johnson\johnsjo08,1,1,7.71,22,1,0,46.2,61,5,33,40,0
Jay Tessmer\tessmja01,1,0,7.77,20,0,0,22,29,5,9,14,0
Mark Watson\watsoma03,0,1,8.53,6,0,0,6.1,12,0,2,4,-0.5
Mike Porzio\porzimi01,0,0,8.59,16,0,0,14.2,21,5,10,10,0
Rodrigo Lopez\lopezro02,0,3,8.76,6,6,0,24.2,40,5,13,17,3.8
Bryan Corey\coreybr01,0,0,9,3,0,0,4,6,1,2,1,0
Tim Harikkala\harikti01,1,2,9.15,9,1,0,20.2,26,2,9,9,0.9
Craig Dingman\dingmcr01,0,0,9.33,17,0,1,18.1,29,5,6,10,-0.5
Ben Ford\fordbe01,0,1,9.43,12,2,0,21,27,3,10,10,-0.3
Juan Alvarez\alvarju01,0,1,10,19,0,0,9,15,3,11,6,0.4
Jason Phillips\phillja03,0,0,11.57,6,0,0,7,11,2,6,7,0.5
Brandon Villafuerte\villabr01,0,0,12.6,9,0,0,10,16,3,8,5,1.9
John Mabry\mabryjo01,0,0,63,2,0,0,1,6,0,4,0,1.9
