Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Jeff Abbott\abbotje01,/79D8,19,38,8,10,1,2,0,0,0.263,0.263,0.368,0.632
Kurt Abbott\abbotku01,47/65D,94,252,35,69,6,30,3,14,0.274,0.315,0.433,0.747
Bobby Abreu*\abreubo01,97/8,59,188,22,47,3,26,7,21,0.25,0.329,0.372,0.701
Juan Acevedo\aceveju01,1,22,6,0,0,0,0,0,0,0,0,0,0
Terry Adams\adamste01,1,74,2,0,0,0,0,0,0,0,0,0,0
Joel Adamson*\adamsjo02,1,4,3,0,0,0,0,0,0,0,0,0,0
Rick Aguilera\aguilri01,1,1,0,0,0,0,0,0,0,,,,
Manny Alexander\alexama02,64/5,87,248,37,66,3,22,13,17,0.266,0.32,0.383,0.703
Manny Alexander\alexama02,46/5,54,149,26,37,2,15,11,9,0.248,0.294,0.389,0.683
Manny Alexander\alexama02,42890,33,99,11,29,1,7,2,8,0.293,0.358,0.374,0.732
Antonio Alfonseca\alfonan01,1,16,3,0,0,0,0,0,0,0,0,0,0
Edgardo Alfonzo\alfoned01,*56/4,151,518,84,163,10,72,11,63,0.315,0.391,0.432,0.823
Luis Alicea#\alicelu01,45/D,128,388,59,98,5,37,22,69,0.253,0.375,0.369,0.743
Jermaine Allensworth\allenje01,8,108,369,55,94,3,43,14,44,0.255,0.34,0.339,0.679
Roberto Alomar#\alomaro01,*4/D,112,412,64,137,14,60,9,40,0.333,0.39,0.5,0.89
Sandy Alomar\alomasa02,*2/D,125,451,63,146,21,83,0,19,0.324,0.354,0.545,0.9
Moises Alou\aloumo01,*789,150,538,88,157,23,115,9,70,0.292,0.373,0.493,0.866
Wilson Alvarez*\alvarwi01,1,12,26,1,3,0,1,0,2,0.115,0.179,0.115,0.294
Wilson Alvarez*\alvarwi01,1,1,3,0,0,0,0,0,0,0,0,0,0
Wilson Alvarez*\alvarwi01,1,11,23,1,3,0,1,0,2,0.13,0.2,0.13,0.33
Rich Amaral\amarari01,734/89D56,89,190,34,54,1,21,12,10,0.284,0.327,0.326,0.653
Ruben Amaro#\amaroru02,879/3,117,175,18,41,2,21,1,21,0.234,0.32,0.314,0.634
Brady Anderson*\anderbr01,*8D,151,590,97,170,18,73,18,84,0.288,0.393,0.469,0.863
Garret Anderson*\anderga01,*78/D9,154,624,76,189,8,92,10,30,0.303,0.334,0.409,0.743
Shane Andrews\andresh01,5,18,64,10,13,4,9,0,3,0.203,0.232,0.438,0.669
Eric Anthony*\anthoer01,42925,47,74,8,18,2,5,2,12,0.243,0.349,0.419,0.768
Kevin Appier\appieke01,1,3,6,0,0,0,0,0,0,0,0,0,0
Alex Arias\ariasal01,56,74,93,13,23,1,11,0,12,0.247,0.352,0.301,0.653
George Arias\ariasge01,/5D,14,28,3,7,0,3,0,0,0.25,0.25,0.286,0.536
George Arias\ariasge01,/5D,3,6,1,2,0,1,0,0,0.333,0.333,0.333,0.667
George Arias\ariasge01,/5,11,22,2,5,0,2,0,0,0.227,0.227,0.273,0.5
Rene Arocha\arochre01,/1,6,1,0,0,0,0,0,0,0,0,0,0
Andy Ashby\ashbyan01,1,29,60,1,4,0,1,0,2,0.067,0.097,0.083,0.18
Billy Ashley\ashlebi01,7,71,131,12,32,6,19,0,8,0.244,0.293,0.435,0.728
Paul Assenmacher*\assenpa01,1,4,0,0,0,0,0,0,0,,,,
Pedro Astacio\astacpe01,1,31,54,2,7,0,1,0,0,0.13,0.13,0.148,0.278
Pedro Astacio\astacpe01,1,25,41,2,6,0,1,0,0,0.146,0.146,0.171,0.317
Pedro Astacio\astacpe01,/1,6,13,0,1,0,0,0,0,0.077,0.077,0.077,0.154
Rich Aurilia\aurilri01,6,46,102,16,28,5,19,1,8,0.275,0.321,0.5,0.821
Brad Ausmus\ausmubr01,*2,130,425,45,113,4,44,14,38,0.266,0.326,0.358,0.684
Bruce Aven\avenbr01,35977,13,19,4,4,0,2,0,1,0.211,0.25,0.263,0.513
Steve Avery*\averyst01,1,2,1,1,0,0,0,0,0,0,0,0,0
Bobby Ayala\ayalabo01,1,4,0,0,0,0,0,0,0,,,,
Manny Aybar\aybarma01,1,11,21,0,3,0,1,0,0,0.143,0.143,0.143,0.286
Carlos Baerga#\baergca01,*4,133,467,53,131,9,52,2,20,0.281,0.311,0.396,0.707
Jeff Bagwell\bagweje01,*3/D,162,566,109,162,43,135,31,127,0.286,0.425,0.592,1.017
Scott Bailes*\bailesc01,1,3,0,0,0,0,0,0,0,,,,
Cory Bailey\baileco01,/1,6,1,0,1,0,0,0,0,1,1,1,2
Roger Bailey\bailero01,1,29,62,9,13,0,2,0,2,0.21,0.234,0.226,0.46
Harold Baines*\baineha01,*D/9,137,452,55,136,16,67,0,55,0.301,0.375,0.458,0.832
Harold Baines*\baineha01,D/9,93,318,40,97,12,52,0,41,0.305,0.382,0.475,0.857
Harold Baines*\baineha01,D,44,134,15,39,4,15,0,14,0.291,0.356,0.418,0.774
James Baldwin\baldwja01,1,2,3,0,0,0,0,0,0,0,0,0,0
Brian Banks#\banksbr01,7/35D9,28,68,9,14,1,8,0,6,0.206,0.267,0.265,0.531
Manuel Barrios\barrima01,/1,2,0,0,0,0,0,0,0,,,,
Tony Barron\barroto01,9,57,189,22,54,4,24,0,12,0.286,0.33,0.423,0.753
Kimera Bartee#\barteki01,/8D7,12,5,4,1,0,0,3,2,0.2,0.5,0.2,0.7
Rich Batchelor\batchri01,1,21,0,0,0,0,0,0,0,,,,
Rich Batchelor\batchri01,1,10,0,0,0,0,0,0,0,,,,
Rich Batchelor\batchri01,1,11,0,0,0,0,0,0,0,,,,
Jason Bates#\batesja01,46/5,62,121,17,29,3,11,0,15,0.24,0.338,0.397,0.735
Miguel Batista\batismi01,1,10,8,0,0,0,0,0,0,0,0,0,0
Tony Batista\batisto01,6/54D,68,188,22,38,4,18,2,14,0.202,0.265,0.33,0.594
Danny Bautista\bautida01,79/8,64,103,14,25,3,9,2,5,0.243,0.282,0.398,0.68
Jose Bautista\bautijo01,1,11,0,0,0,0,0,0,0,,,,
Jose Bautista\bautijo01,1,1,0,0,0,0,0,0,0,,,,
Jose Bautista\bautijo01,1,10,0,0,0,0,0,0,0,,,,
Trey Beamon*\beamotr01,42925,43,65,5,18,0,7,1,2,0.277,0.309,0.323,0.632
Rod Beck\beckro01,1,68,0,0,0,0,0,0,0,,,,
Rich Becker*\beckeri01,*89/7,132,443,61,117,10,45,17,62,0.264,0.354,0.395,0.749
Robbie Beckett\beckero01,/1,2,0,0,0,0,0,0,0,,,,
Matt Beech*\beechma01,1,21,30,1,5,0,1,0,0,0.167,0.167,0.2,0.367
Tim Belcher\belchti01,1,2,6,0,0,0,0,0,0,0,0,0,0
Stan Belinda\belinst01,1,81,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667
David Bell\bellda01,546,66,142,9,30,1,12,1,10,0.211,0.261,0.31,0.571
Derek Bell\bellde01,*98/D,129,493,67,136,15,71,15,40,0.276,0.344,0.438,0.782
Jay Bell\bellja01,*6/5,153,573,89,167,21,92,10,71,0.291,0.368,0.461,0.829
Albert Belle\belleal01,*7/D,161,634,90,174,30,116,4,53,0.274,0.332,0.491,0.823
Mark Bellhorn#\bellhma01,54/D6,68,224,33,51,6,19,7,32,0.228,0.324,0.357,0.681
Rafael Belliard\bellira01,42890,72,71,9,15,1,3,0,1,0.211,0.219,0.296,0.515
Rigo Beltran*\beltrri01,1,34,7,1,1,0,0,0,0,0.143,0.143,0.286,0.429
Marvin Benard*\benarma01,97/8D,84,114,13,26,1,13,3,13,0.228,0.315,0.289,0.605
Alan Benes\benesal01,1,22,52,1,9,0,3,0,0,0.173,0.173,0.212,0.385
Andy Benes\benesan01,1,25,55,4,12,0,5,0,1,0.218,0.246,0.255,0.5
Armando Benitez\benitar01,1,5,0,0,0,0,0,0,0,,,,
Yamil Benitez\benitya01,79,53,191,22,51,8,21,2,10,0.267,0.307,0.44,0.747
Mike Benjamin\benjami01,56/43D1,49,116,12,27,0,7,2,4,0.233,0.262,0.328,0.59
Shayne Bennett\bennesh01,1,15,1,0,0,0,0,0,1,0,0.5,0,0.5
Jeff Berblinger\berblje01,/4,7,5,1,0,0,0,0,0,0,0,0,0
Sean Bergman\bergmse01,1,41,13,2,3,0,0,0,0,0.231,0.231,0.308,0.538
Geronimo Berroa\berroge01,9D,156,561,88,159,26,90,4,76,0.283,0.369,0.467,0.836
Geronimo Berroa\berroge01,9D,73,261,40,81,16,42,3,36,0.31,0.395,0.54,0.935
Geronimo Berroa\berroge01,D9,83,300,48,78,10,48,1,40,0.26,0.347,0.403,0.75
Sean Berry\berryse01,5/D,96,301,37,77,8,43,1,25,0.256,0.318,0.422,0.739
Damon Berryhill#\berryda01,42769,73,167,17,43,3,23,0,20,0.257,0.335,0.359,0.694
Brian Bevil\bevilbr01,1,2,0,0,0,0,0,0,0,,,,
Dante Bichette\bicheda01,*79/D,151,561,81,173,26,118,6,30,0.308,0.343,0.51,0.853
Mike Bielecki\bielemi01,1,48,2,0,0,0,0,0,1,0,0.333,0,0.333
Steve Bieser*\biesest01,8/729,47,69,16,17,0,4,2,7,0.246,0.346,0.29,0.636
Craig Biggio\biggicr01,*4/D,162,619,146,191,22,81,47,84,0.309,0.415,0.501,0.916
Willie Blair\blairwi01,1,1,4,0,0,0,0,0,0,0,0,0,0
Henry Blanco\blanche01,/35,3,5,1,2,1,1,0,0,0.4,0.4,1,1.4
Jeff Blauser\blausje01,*6/D,151,519,90,160,17,70,5,70,0.308,0.405,0.482,0.886
Ron Blazier\blaziro01,1,33,5,0,2,0,0,0,0,0.4,0.4,0.4,0.8
Mike Blowers\blowemi01,35/7D9,68,150,22,44,5,20,0,21,0.293,0.376,0.427,0.802
Doug Bochtler\bochtdo01,1,51,0,0,0,0,0,0,0,,,,
Brian Boehringer#\boehrbr01,1,2,0,0,0,0,0,0,0,,,,
Tim Bogar\bogarti01,65/3,97,241,30,60,4,30,4,24,0.249,0.32,0.39,0.71
Wade Boggs*\boggswa01,5D/1,103,353,55,103,4,28,0,48,0.292,0.373,0.397,0.769
Brian Bohanon*\bohanbr01,1,20,33,0,6,0,4,0,0,0.182,0.176,0.182,0.358
Barry Bonds*\bondsba01,*7,159,532,123,155,40,101,37,145,0.291,0.446,0.585,1.031
Ricky Bones\bonesri01,1/D,12,2,0,0,0,0,0,0,0,0,0,0
Ricky Bones\bonesri01,/1,9,2,0,0,0,0,0,0,0,0,0,0
Ricky Bones\bonesri01,1/D,3,0,0,0,0,0,0,0,,,,
Bobby Bonilla#\bonilbo01,*5/D3,153,562,77,167,17,96,6,73,0.297,0.378,0.468,0.846
Aaron Boone\booneaa01,42859,16,49,5,12,0,5,1,2,0.245,0.275,0.265,0.54
Bret Boone\boonebr01,*4,139,443,40,99,7,46,5,45,0.223,0.298,0.332,0.63
Josh Booty\bootyjo01,/5,4,5,2,3,0,1,0,1,0.6,0.667,0.6,1.267
Pat Borders\bordepa01,2,55,159,17,47,4,15,0,9,0.296,0.341,0.428,0.769
Mike Bordick\bordimi01,*6,153,509,55,120,7,46,0,33,0.236,0.283,0.318,0.601
Toby Borland\borlato02,1,13,0,0,0,0,0,0,0,,,,
Toby Borland\borlato02,1,13,0,0,0,0,0,0,0,,,,
Joe Borowski\borowjo01,1,20,0,0,0,0,0,0,0,,,,
Joe Borowski\borowjo01,1,20,0,0,0,0,0,0,0,,,,
Shawn Boskie\boskish01,1,3,0,0,0,0,0,0,0,,,,
Ricky Bottalico*\bottari01,1,66,1,0,0,0,0,0,0,0,0,0,0
Kent Bottenfield\botteke01,1,64,4,0,0,0,0,0,0,0,0,0,0
