Name,WAR
,
Jeff Abbott\abbotje01,-0.6
Jim Abbott*\abbotji01,0
Kurt Abbott\abbotku01,-0.6
Paul Abbott\abbotpa01,0
Bobby Abreu*\abreubo01,6.4
Juan Acevedo\aceveju01,0.1
Terry Adams\adamste01,0
Joel Adamson*\adamsjo02,0.1
Benny Agbayani\agbaybe01,-0.2
Rick Aguilera\aguilri01,0
Scott Aldred*\aldresc01,0
Manny Alexander\alexama02,-1
Antonio Alfonseca\alfonan01,0
Edgardo Alfonzo\alfoned01,2.7
Luis Alicea#\alicelu01,1.8
Jermaine Allensworth\allenje01,1.3
Carlos Almanzar\almanca01,0
Roberto Alomar#\alomaro01,3.7
Sandy Alomar\alomasa02,-0.2
Moises Alou\aloumo01,6.2
Gabe Alvarez\alvarga01,-1
Wilson Alvarez*\alvarwi01,0
Rich Amaral\amarari01,0.2
Ruben Amaro#\amaroru02,-0.9
Brady Anderson*\anderbr01,1.5
Brian Anderson#\anderbr02,-0.4
Garret Anderson*\anderga01,0.2
Marlon Anderson*\anderma02,0.1
Matt Anderson\anderma01,0
Shane Andrews\andresh01,2
Luis Andujar\andujlu01,0
Kevin Appier\appieke01,0
Alex Arias\ariasal01,0.6
George Arias\ariasge01,0.1
Rolando Arrojo\arrojro01,0
Andy Ashby\ashbyan01,-0.2
Billy Ashley\ashlebi01,0.2
Paul Assenmacher*\assenpa01,0
Pedro Astacio\astacpe01,-0.1
Rich Aurilia\aurilri01,2
Brad Ausmus\ausmubr01,1.7
Steve Avery*\averyst01,0
Bobby Ayala\ayalabo01,0
Manny Aybar\aybarma01,0.1
Carlos Baerga#\baergca01,-0.2
Jeff Bagwell\bagweje01,6.3
Scott Bailes*\bailesc01,0
Cory Bailey\baileco01,0
Harold Baines*\baineha01,0.9
Paul Bako*\bakopa01,0.7
James Baldwin\baldwja01,0
Jeff Ball\ballje01,-0.1
Brian Banks#\banksbr01,0.1
Willie Banks\bankswi01,0
Travis Baptist*\baptitr01,0
Brian Barber\barbebr02,0
Brian Barkley*\barklbr01,0
Michael Barrett\barremi01,0.2
Manuel Barrios\barrima01,0
Jeff Barry#\barryje01,-0.2
Kimera Bartee#\barteki01,0.4
Jason Bates#\batesja01,-0.9
Miguel Batista\batismi01,-0.5
Tony Batista\batisto01,2.7
Justin Baughman\baughju01,-0.3
Danny Bautista\bautida01,0.2
Trey Beamon*\beamotr01,-0.1
Rod Beck\beckro01,0
Rich Becker*\beckeri01,-0.4
Matt Beech*\beechma01,-0.2
Tim Belcher\belchti01,0
Stan Belinda\belinst01,0
David Bell\bellda01,0.9
Derek Bell\bellde01,5.4
Jay Bell\bellja01,3.9
Albert Belle\belleal01,7.1
Mark Bellhorn#\bellhma01,0.1
Rafael Belliard\bellira01,-0.2
Ronnie Belliard\belliro01,-0.1
Carlos Beltran#\beltrca01,0.3
Rigo Beltran*\beltrri01,0
Adrian Beltre\beltrad01,0.2
Marvin Benard*\benarma01,1.9
Andy Benes\benesan01,0.4
