Name,WAR
Juan Acevedo\aceveju01,0.1
Mark Acre\acrema01,0
Terry Adams\adamste01,-0.6
Willie Adams\adamswi02,-0.9
Joel Adamson*\adamsjo02,0.9
Rick Aguilera\aguilri01,1.4
Jose Alberro\alberjo01,-1
Scott Aldred*\aldresc01,-1.1
Antonio Alfonseca\alfonan01,-0.3
Carlos Almanzar\almanca01,0.1
Wilson Alvarez*\alvarwi01,3.5
Brian Anderson*\anderbr02,0.4
Luis Andujar\andujlu01,-1
Kevin Appier\appieke01,5.6
Rene Arocha\arochre01,-0.7
Andy Ashby\ashbyan01,2.5
Paul Assenmacher*\assenpa01,1.5
Pedro Astacio\astacpe01,3.1
Steve Avery*\averyst01,-0.9
Bobby Ayala\ayalabo01,1.2
Manny Aybar\aybarma01,0.5
Scott Bailes*\bailesc01,0.4
Cory Bailey\baileco01,-0.3
Roger Bailey\bailero01,3.8
James Baldwin\baldwja01,0.5
Willie Banks\bankswi01,0.7
Manuel Barrios\barrima01,-0.2
Rich Batchelor\batchri01,-0.6
Miguel Batista\batismi01,-0.2
Jose Bautista\bautijo01,-0.6
Rod Beck\beckro01,0.5
Robbie Beckett*\beckero01,0
Matt Beech*\beechma01,0.4
Tim Belcher\belchti01,1.1
Stan Belinda\belinst01,1.6
Rigo Beltran*\beltrri01,0.4
Alan Benes\benesal01,3.5
Andy Benes\benesan01,4.1
Armando Benitez\benitar01,2.5
Mike Benjamin\benjami01,0
Shayne Bennett\bennesh01,0.3
Jason Bere\bereja01,0.3
Sean Bergman\bergmse01,-0.7
Mike Bertotti*\bertomi01,0
Brian Bevil\bevilbr01,-0.4
Mike Bielecki\bielemi01,-0.6
Willie Blair\blairwi01,3.8
Ron Blazier\blaziro01,-0.1
Doug Bochtler\bochtdo01,0
Brian Boehringer\boehrbr01,1.6
Wade Boggs\boggswa01,0
Brian Bohanon*\bohanbr01,0.4
Ricky Bones\bonesri01,-1.6
Toby Borland\borlato02,-0.4
Joe Borowski\borowjo01,0
Shawn Boskie\boskish01,-0.9
Ricky Bottalico\bottari01,1.2
Kent Bottenfield\botteke01,0.6
Mike Bovee\boveemi01,0
Shane Bowers\bowersh01,-0.5
Mark Brandenburg\brandma01,-0.1
Jeff Brantley\brantje01,0.2
Billy Brewer*\brewebi01,0.3
Doug Brocail\brocado01,2.2
Chris Brock\brockch01,-0.5
Kevin Brown\brownke01,7
Jim Bruske\bruskji01,0.6
Jim Bullinger\bulliji01,-1.6
Dave Burba\burbada01,1.4
John Burke\burkejo04,-0.4
John Burkett\burkejo03,2.4
Terry Burrows*\burrote01,-0.7
Mike Busby\busbymi01,-0.5
Paul Byrd\byrdpa01,-0.6
Jose Cabrera\cabrejo01,0.6
