Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Paul Abbott\abbotpa01,9,7,4.22,35,27,0,179,164,23,80,100
Juan Acevedo\aceveju01,3,7,3.81,62,0,0,82.2,77,11,31,51
Terry Adams\adamste01,6,9,3.52,66,0,2,84.1,80,6,39,56
Rick Aguilera\aguilri01,1,2,4.91,54,0,29,47.2,47,11,18,38
Scott Aldred*\aldresc01,1,3,5.75,23,0,0,20.1,23,3,10,21
Antonio Alfonseca\alfonan01,5,6,4.24,68,0,45,70,82,7,24,47
Armando Almanza*\almanar01,4,2,4.86,67,0,0,46.1,38,3,43,46
Carlos Almanzar\almanca01,4,5,4.39,62,0,0,69.2,73,12,25,56
Juan Alvarez*\alvarju01,0,0,13.5,11,0,0,6,14,3,7,2
Brian Anderson*\anderbr02,11,7,4.05,33,32,0,213.1,226,38,39,104
Jimmy Anderson*\anderji02,5,11,5.25,27,26,0,144,169,13,58,73
Matt Anderson\anderma01,3,2,4.72,69,0,1,74.1,61,8,45,71
Clayton Andrews*\andrecl01,1,2,10.02,8,2,0,20.2,34,6,9,12
Rick Ankiel*\ankieri01,11,7,3.5,31,30,0,175,137,21,90,194
Kevin Appier\appieke01,15,11,4.52,31,31,0,195.1,200,23,102,129
Tony Armas\armasto02,7,9,4.36,17,17,0,95,74,10,50,59
Jamie Arnold\arnolja01,0,3,6.18,14,4,1,39.1,38,1,24,16
Jamie Arnold\arnolja01,0,0,4.05,2,0,0,6.2,4,0,5,3
Jamie Arnold\arnolja01,0,3,6.61,12,4,1,32.2,34,1,19,13
Rolando Arrojo\arrojro01,10,11,5.63,32,32,0,172.2,187,24,68,124
Rolando Arrojo\arrojro01,5,9,6.04,19,19,0,101.1,120,14,46,80
Rolando Arrojo\arrojro01,5,2,5.05,13,13,0,71.1,67,10,22,44
Bronson Arroyo\arroybr01,2,6,6.4,20,12,0,71.2,88,10,36,50
Andy Ashby\ashbyan01,12,13,4.92,31,31,0,199.1,216,29,61,106
Andy Ashby\ashbyan01,4,7,5.68,16,16,0,101.1,113,17,38,51
Andy Ashby\ashbyan01,8,6,4.13,15,15,0,98,103,12,23,55
Pedro Astacio\astacpe01,12,9,5.27,32,32,0,196.1,217,32,77,193
Manny Aybar\aybarma01,2,2,4.31,54,0,0,79.1,74,11,35,45
Manny Aybar\aybarma01,0,1,16.2,1,0,0,1.2,5,1,0,0
Manny Aybar\aybarma01,1,1,4.83,32,0,0,50.1,51,7,22,31
Manny Aybar\aybarma01,1,0,2.63,21,0,0,27.1,18,3,13,14
James Baldwin\baldwja01,14,7,4.65,29,28,0,178,185,34,59,116
John Bale*\balejo01,0,0,14.73,2,0,0,3.2,5,1,3,6
Lorenzo Barcelo\barcelo01,4,2,3.69,22,1,0,39,34,5,9,26
Miguel Batista\batismi01,2,7,8.54,18,9,0,65.1,85,19,37,37
Miguel Batista\batismi01,0,1,14.04,4,0,0,8.1,19,2,3,7
Miguel Batista\batismi01,2,6,7.74,14,9,0,57,66,17,34,30
Rod Beck\beckro01,3,0,3.1,34,0,0,40.2,34,2,12,35
Kevin Beirne\beirnke01,1,3,6.7,29,1,0,49.2,50,9,20,41
Tim Belcher\belchti01,4,5,6.86,9,9,0,40.2,45,8,22,22
Stan Belinda\belinst01,1,3,7.71,56,0,1,46.2,55,14,22,51
Stan Belinda\belinst01,1,3,7.07,46,0,1,35.2,39,10,17,40
Stan Belinda\belinst01,0,0,9.82,10,0,0,11,16,4,5,11
Todd Belitz*\belitto01,0,0,2.7,5,0,0,3.1,4,0,4,3
Derek Bell\bellde01,0,0,36,1,0,0,1,3,0,3,0
Rob Bell\bellro01,7,8,5,26,26,0,140.1,130,32,73,112
Rigo Beltran*\beltrri01,0,0,40.5,1,1,0,1.1,6,2,3,1
Alan Benes\benesal01,2,2,5.67,30,0,0,46,54,7,23,26
Andy Benes\benesan01,12,9,4.88,30,27,0,166,174,30,68,137
Armando Benitez\benitar01,4,4,2.61,76,0,41,76,39,10,38,106
Kris Benson\bensokr01,10,12,3.85,32,32,0,217.2,206,24,86,184
Jason Bere\bereja01,12,10,5.47,31,31,0,169.1,180,25,89,142
Jason Bere\bereja01,6,7,4.93,20,20,0,115,115,19,63,98
Jason Bere\bereja01,6,3,6.63,11,11,0,54.1,65,6,26,44
Sean Bergman\bergmse01,4,5,9.66,15,14,0,68,111,18,33,35
Adam Bernero\bernead01,0,1,4.19,12,4,0,34.1,33,3,13,20
Rocky Biddle\biddlro01,1,2,8.34,4,4,0,22.2,31,5,8,7
Willie Blair\blairwi01,10,6,4.88,47,17,0,156.2,185,20,35,74
Matt Blank*\blankma01,0,1,5.14,13,0,0,14,12,1,5,4
Doug Bochtler\bochtdo01,0,2,6.48,6,0,0,8.1,13,2,10,4
Brian Boehringer\boehrbr01,0,3,5.74,7,3,0,15.2,18,4,10,9
Tim Bogar\bogarti01,0,0,4.5,2,0,0,2,2,1,1,1
Brian Bohanon*\bohanbr01,12,10,4.68,34,26,0,177,181,24,79,98
Ricky Bones\bonesri01,2,3,4.54,56,0,0,77.1,94,6,27,59
Pedro Borbon*\borbope02,1,1,6.48,59,0,1,41.2,45,5,38,29
Dave Borkowski\borkoda01,0,1,21.94,2,1,0,5.1,11,2,7,1
Ricky Bottalico\bottari01,9,6,4.83,62,0,16,72.2,65,12,41,56
Kent Bottenfield\botteke01,8,10,5.4,29,29,0,171.2,185,30,77,106
Kent Bottenfield\botteke01,7,8,5.71,21,21,0,127.2,144,25,56,75
Kent Bottenfield\botteke01,1,2,4.5,8,8,0,44,41,5,21,31
Jason Boyd\boydja02,0,1,6.55,30,0,0,34.1,39,2,24,32
Chad Bradford\bradfch01,1,0,1.98,12,0,0,13.2,13,0,1,9
Jeff Brantley\brantje01,2,7,5.86,55,0,23,55.1,64,12,29,57
Leslie Brea\breale01,0,1,11,6,1,0,9,12,1,10,5
Jamie Brewington\brewija01,3,0,5.36,26,0,0,45.1,56,3,19,34
Doug Brocail\brocado01,5,4,4.09,49,0,0,50.2,57,5,14,41
