Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Chris Brock\brockch01,7,8,4.34,63,5,1,93.1,85,21,41,69
Jim Brower\broweji01,2,3,6.24,17,11,0,62,80,11,31,32
Kevin Brown\brownke01,13,6,2.58,33,33,0,230,181,21,47,216
Mark Brownson\brownma04,1,0,7.2,2,0,0,5,7,1,3,3
Justin Brunette*\bruneju01,0,0,5.79,4,0,0,4.2,8,0,5,2
Jim Bruske\bruskji01,1,0,6.48,15,0,0,16.2,22,5,12,8
Mike Buddie\buddimi01,0,0,4.5,5,0,0,6,8,0,1,5
Mark Buehrle*\buehrma01,4,1,4.21,28,3,0,51.1,55,5,19,37
Kirk Bullinger\bulliki01,0,0,5.4,3,0,0,3.1,4,0,0,4
Dave Burba\burbada01,16,6,4.47,32,32,0,191.1,199,19,91,180
John Burkett\burkejo03,10,6,4.89,31,22,0,134.1,162,13,51,110
A.J. Burnett\burnea.01,3,7,4.79,13,13,0,82.2,80,8,44,57
Paul Byrd\byrdpa01,2,9,6.51,17,15,0,83,89,17,35,53
Tim Byrdak*\byrdati01,0,1,11.37,12,0,0,6.1,11,3,4,8
Jose Cabrera\cabrejo01,2,3,5.92,52,0,2,59.1,74,10,17,41
Cameron Cairncross*\cairnca01,1,0,3.86,15,0,0,9.1,11,1,3,8
Eric Cammack\cammaer01,0,0,6.3,8,0,0,10,7,1,10,9
Buddy Carlyle\carlybu01,0,0,21,4,0,0,3,6,0,3,2
Chris Carpenter\carpech01,10,12,6.26,34,27,0,175.1,204,30,83,113
Giovanni Carrara\carragi01,0,1,12.83,8,0,0,13.1,21,5,11,15
Hector Carrasco\carrahe01,5,4,4.69,69,1,1,78.2,90,8,38,64
Hector Carrasco\carrahe01,4,3,4.25,61,0,1,72,75,6,33,57
Hector Carrasco\carrahe01,1,1,9.45,8,1,0,6.2,15,2,5,7
Frank Castillo\castifr01,10,5,3.59,25,24,0,138,112,18,56,104
Norm Charlton*\charlno01,0,0,27,2,0,0,3,6,1,6,1
Bruce Chen*\chenbr01,7,4,3.29,37,15,0,134,116,18,46,112
Bruce Chen*\chenbr01,4,0,2.5,22,0,0,39.2,35,4,19,32
Bruce Chen*\chenbr01,3,4,3.63,15,15,0,94.1,81,14,27,80
Randy Choate*\choatra01,0,1,4.76,22,0,0,17,14,3,8,12
Bobby Chouinard\chouibo01,2,2,3.86,31,0,0,32.2,35,4,9,23
Jason Christiansen*\chrisja01,3,8,5.06,65,0,1,48,41,3,27,53
Jason Christiansen*\chrisja01,2,8,4.97,44,0,1,38,28,2,25,41
Jason Christiansen*\chrisja01,1,0,5.4,21,0,0,10,13,1,2,12
Mark Clark\clarkma01,3,5,7.98,12,8,0,44,66,10,24,16
Roger Clemens\clemero02,13,8,3.7,32,32,0,204.1,184,26,84,188
Matt Clement\clemema01,13,17,5.14,34,34,0,205,194,22,125,170
Brad Clontz\clontbr01,0,0,5.14,5,0,0,7,7,1,11,8
Pasqual Coco\cocopa01,0,0,9,1,1,0,4,5,1,5,2
Dave Coggin\coggida01,2,0,5.33,5,5,0,27,35,2,12,17
Bartolo Colon\colonba01,15,8,3.88,30,30,0,188,163,21,98,212
David Cone\coneda01,4,14,6.91,30,29,0,155,192,25,82,120
Dennis Cook*\cookde01,6,3,5.34,68,0,2,59,63,8,31,53
Brian Cooper\coopebr01,4,8,5.9,15,15,0,87,105,18,35,36
Francisco Cordero\cordefr01,1,2,5.35,56,0,0,77.1,87,11,48,49
Francisco Cordova\cordofr01,6,8,5.21,18,17,0,95,107,12,38,66
Rheal Cormier*\cormirh01,3,3,4.61,64,0,0,68.1,74,7,17,43
Reid Cornelius\cornere01,4,10,4.82,22,21,0,125,135,19,50,50
Tim Crabtree\crabtti01,2,7,5.15,68,0,2,80.1,86,7,31,54
Paxton Crawford\crawfpa02,2,1,3.41,7,4,0,29,25,0,13,17
Doug Creek*\creekdo01,1,3,4.6,45,0,1,60.2,49,10,39,73
Jack Cressend\cressja01,0,0,5.27,11,0,0,13.2,20,0,6,6
Rich Croushore\crousri01,2,1,7.88,11,0,0,16,19,1,11,14
Rich Croushore\crousri01,2,0,8.74,6,0,0,11.1,15,1,6,11
Rich Croushore\crousri01,0,1,5.79,5,0,0,4.2,4,0,5,3
Nelson Cruz\cruzne01,5,2,3.07,27,0,0,41,39,4,13,34
Darwin Cubillan\cubilda01,1,0,9.45,20,0,0,33.1,52,9,25,27
Darwin Cubillan\cubilda01,1,0,8.04,7,0,0,15.2,20,5,11,14
Darwin Cubillan\cubilda01,0,0,10.7,13,0,0,17.2,32,4,14,13
Will Cunnane\cunnawi01,1,1,4.23,27,3,0,38.1,35,2,21,34
Jeff D'Amico\d'amije01,12,7,2.66,23,23,0,162.1,143,14,46,101
Jeff D'Amico\d'amije02,0,1,9.22,7,1,0,13.2,19,2,15,9
Omar Daal*\daalom01,4,19,6.14,32,28,0,167,208,26,72,96
Omar Daal*\daalom01,2,10,7.22,20,16,0,96,127,17,42,45
Omar Daal*\daalom01,2,9,4.69,12,12,0,71,81,9,30,51
Vic Darensbourg*\darenvi01,5,3,4.06,56,0,0,62,61,7,28,59
Tom Davey\daveyto01,2,1,0.71,11,0,0,12.2,12,0,2,6
Doug Davis*\davisdo02,7,6,5.38,30,13,0,98.2,109,14,58,66
Kane Davis\daviska01,0,3,12.6,8,2,0,15,27,4,13,4
Kane Davis\daviska01,0,3,14.73,5,2,0,11,20,3,8,2
Kane Davis\daviska01,0,0,6.75,3,0,0,4,7,1,5,2
Valerio De Los Santos*\delosva01,2,3,5.13,66,2,0,73.2,72,15,33,70
Mike DeJean\dejeami01,4,4,4.89,54,0,0,53.1,54,9,30,34
Miguel Del Toro\deltomi01,2,0,5.19,9,1,0,17.1,17,3,6,16
Ryan Dempster\dempsry01,14,10,3.66,33,33,0,226.1,210,30,97,209
Sean DePaula\depause01,0,0,5.94,13,0,0,16.2,20,3,14,16
Elmer Dessens\desseel01,11,5,4.28,40,16,1,147.1,170,10,43,85
Matt DeWitt\dewitma01,1,0,8.56,8,0,0,13.2,20,4,9,6
Jason Dickson\dicksja01,2,2,6.11,6,6,0,28,39,5,7,18
Craig Dingman\dingmcr01,0,0,6.55,10,0,0,11,18,1,3,8
Jerry Dipoto\dipotje01,0,0,3.95,17,0,0,13.2,16,1,5,9
Octavio Dotel\doteloc01,3,7,5.4,50,16,16,125,127,26,61,142
Scott Downs*\downssc01,4,3,5.29,19,19,0,97,122,13,40,63
Scott Downs*\downssc01,4,3,5.17,18,18,0,94,117,13,37,63
Scott Downs*\downssc01,0,0,9,1,1,0,3,5,0,3,0
Darren Dreifort\dreifda01,12,9,4.16,32,32,0,192.2,175,31,87,164
Tim Drew\drewti01,1,0,10,3,3,0,9,17,1,8,5
Chad Durbin\durbich01,2,5,8.21,16,16,0,72.1,91,14,43,37
Mike Duvall*\duvalmi01,0,0,7.71,2,0,0,2.1,5,0,1,0
Adam Eaton\eatonad01,7,4,4.13,22,22,0,135,134,14,61,90
Dave Eiland\eilanda01,2,3,7.24,17,10,0,54.2,77,8,18,17
Darrell Einertson\einerda01,0,0,3.55,11,0,0,12.2,16,1,4,3
Scott Elarton\elartsc01,17,7,4.81,30,30,0,192.2,198,29,84,131
Cal Eldred\eldreca01,10,2,4.58,20,20,0,112,103,12,59,97
Alan Embree*\embreal01,3,5,4.95,63,0,2,60,62,4,25,49
Trevor Enders*\endertr01,0,1,10.61,9,0,0,9.1,14,2,5,5
Todd Erdos\erdosto01,0,0,5.93,36,0,2,54.2,63,7,28,34
Todd Erdos\erdosto01,0,0,5.04,14,0,1,25,31,2,11,18
Todd Erdos\erdosto01,0,0,6.67,22,0,1,29.2,32,5,17,16
Scott Erickson\ericksc01,5,8,7.87,16,16,0,92.2,127,14,48,41
Kelvim Escobar\escobke01,10,15,5.35,43,24,2,180,186,26,85,142
Shawn Estes*\estessh01,15,6,4.26,30,30,0,190.1,194,11,108,136
Horacio Estrada*\estraho01,3,0,6.29,7,4,0,24.1,30,5,20,13
Leo Estrella\estrele01,0,0,5.79,2,0,0,4.2,9,1,0,3
Seth Etherton\etherse01,5,1,5.52,11,11,0,60.1,68,16,22,32
Scott Eyre*\eyresc01,1,1,6.63,13,1,0,19,29,3,12,16
Kyle Farnsworth\farnsky01,2,9,6.43,46,5,1,77,90,14,50,74
Jeff Fassero*\fasseje01,8,8,4.78,38,23,0,130,153,16,50,97
Alex Fernandez\fernaal01,4,4,4.13,8,8,0,52.1,59,7,16,27
Osvaldo Fernandez\fernaos01,4,3,3.62,15,14,0,79.2,69,6,31,36
Mike Fetters\fettemi01,6,2,3.24,51,0,5,50,35,7,25,40
Nelson Figueroa\figuene01,0,1,7.47,3,3,0,15.2,17,4,5,7
Chuck Finley*\finlech01,16,11,4.17,34,34,0,218,211,23,101,189
Tony Fiore\fioreto01,1,1,8.4,11,0,0,15,21,3,9,8
Bryce Florie\floribr01,0,4,4.56,29,0,1,49.1,57,5,19,34
Ben Ford\fordbe01,0,1,9,4,2,0,11,14,1,7,5
Scott Forster*\forstsc01,0,1,7.88,42,0,0,32,28,5,25,23
Keith Foulke\foulkke01,3,1,2.97,72,0,34,88,66,9,22,91
John Franco*\francjo01,5,4,3.4,62,0,4,55.2,46,6,26,56
Wayne Franklin*\frankwa01,0,0,5.48,25,0,0,21.1,24,2,12,21
John Frascatore\frascjo01,2,4,5.42,60,0,0,73,87,14,33,30
Aaron Fultz*\fultzaa01,5,2,4.67,58,0,1,69.1,67,8,28,62
Chris Fussell\fussech01,5,3,6.3,20,9,0,70,76,18,44,46
Mike Fyhrie\fyhrimi01,0,0,2.39,32,0,0,52.2,54,4,15,43
Eric Gagne\gagneer01,4,6,5.15,20,19,0,101.1,106,20,60,79
Rich Garces\garceri01,8,1,3.25,64,0,1,74.2,64,7,23,69
Freddy Garcia\garcifr03,9,5,3.91,21,20,0,124.1,112,16,64,79
Mike Garcia\garcimi03,0,2,11.12,13,0,0,11.1,21,1,7,9
Mark Gardner\gardnma01,11,7,4.05,30,20,0,149,155,16,42,92
Daniel Garibay*\garibda01,2,8,6.03,30,8,0,74.2,88,9,39,46
Jon Garland\garlajo01,4,8,6.46,15,13,0,69.2,82,10,40,42
Matt Ginter\gintema01,1,0,13.5,7,0,0,9.1,18,5,7,6
Keith Glauber\glaubke01,0,0,3.68,4,0,0,7.1,5,0,2,4
Tom Glavine*\glavito02,21,9,3.4,35,35,0,241,222,24,65,152
Ryan Glynn\glynnry01,5,7,5.58,16,16,0,88.2,107,15,41,33
Wayne Gomes\gomeswa01,4,6,4.4,65,0,7,73.2,72,6,35,49
Dwight Gooden\goodedw01,6,5,4.71,27,14,2,105,119,23,44,55
Dwight Gooden\goodedw01,6,5,4.54,26,13,2,101,113,22,41,54
Dwight Gooden\goodedw01,0,0,9,1,1,0,4,6,1,3,1
Dwight Gooden\goodedw01,2,3,6.63,8,8,0,36.2,47,14,20,23
Dwight Gooden\goodedw01,4,2,3.36,18,5,2,64.1,66,8,21,31
Danny Graves\graveda01,10,5,2.56,66,0,30,91.1,81,8,42,53
Jason Green\greenja01,1,1,6.62,14,0,0,17.2,15,3,20,19
Jason Grilli\grillja01,1,0,5.4,1,1,0,6.2,11,0,2,3
Jason Grimsley\grimsja01,3,2,5.04,63,4,1,96.1,100,10,42,53
Buddy Groom*\groombu01,6,3,4.85,70,0,4,59.1,63,5,21,44
Kip Gross\grosski01,0,1,10.38,2,1,0,4.1,9,2,2,3
Eddie Guardado*\guarded01,7,4,3.94,70,0,9,61.2,55,14,25,52
Eric Gunderson*\gundeer01,0,1,7.11,6,0,0,6.1,15,0,2,2
Mark Guthrie*\guthrma01,3,6,4.67,76,0,0,71.1,70,8,37,63
Mark Guthrie*\guthrma01,1,3,4.61,57,0,0,52.2,53,7,27,46
Mark Guthrie*\guthrma01,2,3,4.82,19,0,0,18.2,17,1,10,17
Mark Guthrie*\guthrma01,1,1,4.5,34,0,0,32,33,4,18,26
Mark Guthrie*\guthrma01,0,2,4.79,23,0,0,20.2,20,3,9,20
Domingo Guzman\guzmado01,0,0,9,1,0,0,1,1,0,1,0
Geraldo Guzman\guzmage01,5,4,5.37,13,10,0,60.1,66,8,22,52
Juan Guzman\guzmaju01,0,1,43.2,1,1,0,1.2,7,2,2,3
Luther Hackman\hackmlu01,0,0,10.13,1,0,0,2.2,4,0,4,0
John Halama*\halamjo01,14,9,5.08,30,30,0,166.2,206,19,56,87
Roy Halladay\hallaro01,4,7,10.64,19,13,0,67.2,107,14,42,44
Shane Halter\haltesh01,0,0,,1,0,0,0,0,0,1,0
Joey Hamilton\hamiljo02,2,1,3.55,6,6,0,33,28,3,12,15
Mike Hampton*\hamptmi01,15,10,3.14,33,33,0,217.2,194,10,99,151
Chris Haney*\haneych01,0,0,9,1,0,0,1,1,0,1,0
Pete Harnisch\harnipe01,8,6,4.74,22,22,0,131,133,23,46,71
Travis Harper\harpetr01,1,2,4.78,6,5,0,32,30,5,15,14
Shigetoshi Hasegawa\hasegsh01,10,5,3.48,66,0,9,95.2,100,11,38,59
LaTroy Hawkins\hawkila01,2,5,3.39,66,0,14,87.2,85,7,32,59
Jimmy Haynes\hayneji01,12,13,5.33,33,33,0,199.1,228,21,100,88
Rick Helling\helliri01,16,13,4.48,35,35,0,217,212,29,99,146
Doug Henry\henrydo01,4,4,3.79,72,0,1,78.1,57,12,49,62
Doug Henry\henrydo01,1,3,4.42,45,0,1,53,39,10,28,46
Doug Henry\henrydo01,3,1,2.49,27,0,0,25.1,18,2,21,16
Pat Hentgen\hentgpa01,15,12,4.72,33,33,0,194.1,202,24,89,118
Felix Heredia*\heredfe01,7,3,4.76,74,0,2,58.2,46,6,33,52
Gil Heredia\heredgi01,15,11,4.12,32,32,0,198.2,214,24,66,101
Matt Herges\hergema01,11,3,3.17,59,4,1,110.2,100,7,40,75
Dustin Hermanson\hermadu01,12,14,4.77,38,30,4,198,226,26,75,94
Livan Hernandez\hernali01,17,11,3.75,33,33,0,240,254,22,73,165
Orlando Hernandez\hernaor01,12,13,4.51,29,29,0,195.2,186,34,51,141
Roberto Hernandez\hernaro01,4,7,3.19,68,0,32,73.1,76,9,23,61
Orel Hershiser\hershor01,1,5,13.14,10,6,0,24.2,42,5,14,13
Erik Hiljus\hiljuer01,0,0,7.36,3,0,0,3.2,5,1,1,2
Ken Hill\hillke01,5,8,7.16,18,17,0,81.2,107,16,59,50
Ken Hill\hillke01,5,7,6.52,16,16,0,78.2,102,16,53,50
Ken Hill\hillke01,0,1,24,2,1,0,3,5,0,6,0
Brett Hinchliffe\hinchbr01,0,0,5.4,2,0,0,1.2,1,0,1,0
Sterling Hitchcock*\hitchst01,1,6,4.93,11,11,0,65.2,69,12,26,61
Kevin Hodges\hodgeke01,0,0,5.19,13,0,0,17.1,18,4,12,7
Trevor Hoffman\hoffmtr01,4,7,2.99,70,0,43,72.1,61,7,11,85
Darren Holmes\holmeda01,0,1,13.03,18,0,1,19.1,37,6,9,16
Darren Holmes\holmeda01,0,1,9.2,13,0,1,14.2,24,3,4,10
Darren Holmes\holmeda01,0,0,11.57,4,0,1,2.1,5,0,1,2
Darren Holmes\holmeda01,0,1,9.72,5,0,0,8.1,12,2,3,5
Darren Holmes\holmeda01,0,0,25.07,5,0,0,4.2,13,3,5,6
Darren Holmes\holmeda01,0,0,6.75,4,0,0,4,7,1,0,3
Chris Holt\holtch01,8,16,5.35,34,32,0,207,247,22,75,136
Mike Holtz*\holtzmi01,3,4,5.05,61,0,0,41,37,4,18,40
Mark Holzemer*\holzema01,0,1,7.71,25,0,0,25.2,36,4,8,19
Craig House\housecr01,1,1,7.24,16,0,0,13.2,13,3,17,8
Bob Howry\howrybo01,2,4,3.17,65,0,7,71,54,6,29,60
Tim Hudson\hudsoti01,20,6,4.14,32,32,0,202.1,169,24,82,169
Hideki Irabu\irabuhi01,2,5,7.24,11,11,0,54.2,77,9,14,42
Jason Isringhausen\isrinja01,6,4,3.78,66,0,33,69,67,6,32,57
Thomas Jacquez*\jacquth01,0,0,11.05,9,0,1,7.1,10,2,3,6
Mike James\jamesmi01,2,2,3.16,51,0,2,51.1,40,7,24,41
Kevin Jarvis\jarvike01,3,4,5.95,24,19,0,115,138,26,33,60
Jose Jimenez\jimenjo01,5,2,3.18,72,0,24,70.2,63,4,28,44
Jason Johnson\johnsja02,1,10,7.02,25,13,0,107.2,119,21,61,79
Jonathan Johnson\johnsjo08,1,1,6.21,15,0,0,29,34,3,19,23
Mark Johnson\johnsma05,0,1,7.5,9,3,0,24,25,3,16,11
Mike Johnson\johnsmi02,5,6,6.39,41,13,0,101.1,107,18,53,70
Randy Johnson*\johnsra05,19,7,2.64,35,35,0,248.2,202,23,76,347
John Johnstone\johnsjo07,3,4,6.3,47,0,0,50,64,11,13,37
Bobby Jones\jonesbo03,11,6,5.06,27,27,0,154.2,171,25,49,85
Bobby Jones*\jonesbo04,0,1,4.15,11,1,0,21.2,18,2,14,20
Doug Jones\jonesdo01,4,2,3.93,54,0,2,73.1,86,6,18,54
Marcus Jones\jonesma02,0,0,15.43,1,1,0,2.1,5,1,3,1
Todd Jones\jonesto02,2,4,3.52,67,0,42,64,67,6,25,67
Mike Judd\juddmi01,0,1,15.75,1,1,0,4,4,2,3,5
Scott Kamieniecki\kamiesc01,3,4,5.59,52,0,2,58,64,9,42,46
Scott Kamieniecki\kamiesc01,1,3,5.67,26,0,0,33.1,42,6,20,29
Scott Kamieniecki\kamiesc01,2,1,5.47,26,0,2,24.2,22,3,22,17
Matt Karchner\karchma01,1,1,6.14,13,0,0,14.2,19,3,11,5
Scott Karl*\karlsc01,4,5,7.42,23,13,0,87.1,126,16,45,38
Scott Karl*\karlsc01,2,3,7.68,17,9,0,65.2,95,14,33,29
Scott Karl*\karlsc01,2,2,6.65,6,4,0,21.2,31,2,12,9
Steve Karsay\karsast01,5,9,3.76,72,0,20,76.2,79,5,25,66
Randy Keisler*\keislra01,1,0,11.81,4,1,0,10.2,16,1,8,6
Masao Kida\kidama01,0,0,10.13,2,0,0,2.2,5,1,0,0
Darryl Kile\kileda01,20,9,3.91,34,34,0,232.1,215,33,58,192
Byung-Hyun Kim\kimby01,6,6,4.46,61,1,14,70.2,52,9,46,111
Ray King*\kingra01,3,2,1.26,36,0,0,28.2,18,1,10,19
Matt Kinney\kinnema01,2,2,5.1,8,8,0,42.1,41,7,25,24
Steve Kline*\klinest02,1,5,3.5,83,0,14,82.1,88,8,27,64
Billy Koch\kochbi01,9,3,2.63,68,0,33,78.2,78,6,18,60
Ryan Kohlmeier\kohlmry01,0,1,2.39,25,0,13,26.1,30,1,15,17
Brandon Kolb\kolbbr01,0,1,4.5,11,0,0,14,16,0,11,12
Danny Kolb\kolbda01,0,0,67.5,1,0,0,0.2,5,0,2,0
Yovanny Lara\larayo01,0,0,6.35,6,0,0,5.2,5,0,8,3
Andy Larkin\larkian01,0,3,7.96,21,0,1,26,35,6,16,24
Andy Larkin\larkian01,0,0,5.4,3,0,0,6.2,6,1,5,7
Andy Larkin\larkian01,0,3,8.84,18,0,1,19.1,29,5,11,17
Brett Laxton\laxtobr01,0,1,8.1,6,1,0,16.2,23,0,10,14
David Lee\leeda01,0,0,11.12,7,0,1,5.2,10,3,6,6
Sang-Hoon Lee*\leesa01,0,0,3.09,9,0,0,11.2,11,2,4,6
Al Leiter*\leiteal01,16,8,3.2,31,31,0,208,176,19,76,200
Curt Leskanic\leskacu01,9,3,2.56,73,0,12,77.1,58,7,51,75
Al Levine\levinal01,3,4,3.87,51,5,2,95.1,98,10,49,42
Allen Levrault\levraal01,0,1,4.5,5,1,0,12,10,0,7,9
Cory Lidle\lidleco01,4,6,5.03,31,11,0,96.2,114,13,29,62
Jon Lieber\liebejo01,12,11,4.41,35,35,0,251,248,36,54,192
Kerry Ligtenberg\ligteke01,2,3,3.61,59,0,12,52.1,43,7,24,51
Ted Lilly*\lillyte01,0,0,5.63,7,0,0,8,8,1,5,11
Jose Lima\limajo01,7,16,6.65,33,33,0,196.1,251,48,68,124
Mike Lincoln\lincomi01,0,3,10.89,8,4,0,20.2,36,10,13,15
Scott Linebrink\linebsc01,0,0,6,11,0,0,12,18,4,8,6
Scott Linebrink\linebsc01,0,0,11.57,3,0,0,2.1,7,1,2,0
Scott Linebrink\linebsc01,0,0,4.66,8,0,0,9.2,11,3,6,6
Felipe Lira\lirafe01,5,8,5.4,53,7,0,101.2,129,11,36,51
Esteban Loaiza\loaizes01,10,13,4.56,34,31,1,199.1,228,29,57,137
Esteban Loaiza\loaizes01,5,6,5.37,20,17,1,107.1,133,21,31,75
Esteban Loaiza\loaizes01,5,7,3.62,14,14,0,92,95,8,26,62
Rich Loiselle\loiseri01,2,3,5.1,40,0,0,42.1,43,5,30,32
Braden Looper\loopebr01,5,1,4.41,73,0,2,67.1,71,3,36,29
Albie Lopez\lopezal02,11,13,4.13,45,24,2,185.1,199,24,70,96
Rodrigo Lopez\lopezro02,0,3,8.76,6,6,0,24.2,40,5,13,17
Andrew Lorraine*\lorraan01,1,2,5.88,18,5,0,41.1,44,6,23,30
Andrew Lorraine*\lorraan01,1,2,6.47,8,5,0,32,36,5,18,25
Andrew Lorraine*\lorraan01,0,0,3.86,10,0,0,9.1,8,1,5,5
Derek Lowe\lowede01,4,4,2.56,74,0,42,91.1,90,6,22,79
Sean Lowe\lowese01,4,1,5.48,50,5,0,70.2,78,10,39,53
Larry Luebbers\luebbla01,0,2,6.2,14,1,1,20.1,27,1,12,9
John Mabry\mabryjo01,0,0,27,1,0,0,0.2,3,0,1,0
Greg Maddux\maddugr01,19,9,3,35,35,0,249.1,225,19,42,190
Mike Maddux\maddumi01,2,2,6.26,21,0,0,27.1,31,6,12,17
