Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Andy Abad*\abadan01,/3,1,1,0,0,0,0,0,0,0,0,0,0
Jeff Abbott\abbotje01,/897,28,42,5,11,0,5,0,3,0.262,0.326,0.333,0.659
Kurt Abbott\abbotku01,/46,6,9,0,2,0,0,1,0,0.222,0.222,0.222,0.444
Paul Abbott\abbotpa01,1,2,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5
Brent Abernathy\abernbr01,4,79,304,43,82,5,33,8,27,0.27,0.328,0.382,0.71
Bobby Abreu*\abreubo01,*9,162,588,118,170,31,110,36,106,0.289,0.393,0.543,0.936
Jose Acevedo\acevejo01,1,18,34,1,4,0,1,0,0,0.118,0.118,0.147,0.265
Juan Acevedo\aceveju01,1,56,3,1,1,0,0,0,0,0.333,0.333,0.667,1
Juan Acevedo\aceveju01,1,36,0,0,0,0,0,0,0,,,,
Juan Acevedo\aceveju01,1,20,3,1,1,0,0,0,0,0.333,0.333,0.667,1
Terry Adams\adamste01,1,41,39,2,2,0,1,0,3,0.051,0.116,0.077,0.193
Benny Agbayani\agbaybe01,7,91,296,28,82,6,27,4,36,0.277,0.364,0.399,0.763
Kurt Ainsworth\ainswku01,/1,2,0,0,0,0,0,0,0,,,,
Israel Alcantara\alcanis01,/739D,14,38,3,10,0,3,1,3,0.263,0.317,0.289,0.607
Cory Aldridge*\aldrico01,/987,8,5,1,0,0,0,0,0,0,0,0,0
Antonio Alfonseca\alfonan01,1,54,0,0,0,0,0,0,0,,,,
Edgardo Alfonzo\alfoned01,*4,124,457,64,111,17,49,5,51,0.243,0.322,0.403,0.725
Luis Alicea#\alicelu01,4D5,113,387,44,106,4,32,8,23,0.274,0.32,0.367,0.687
Chad Allen\allench01,D79,57,175,20,46,4,20,1,19,0.263,0.333,0.429,0.762
Armando Almanza*\almanar01,1,49,0,0,0,0,0,0,0,,,,
Carlos Almanzar\almanca01,1,1,0,0,0,0,0,0,0,,,,
Erick Almonte\almoner01,/6D,8,4,0,2,0,0,2,0,0.5,0.5,0.75,1.25
Roberto Alomar#\alomaro01,*4,157,575,113,193,20,100,30,80,0.336,0.415,0.541,0.956
Sandy Alomar\alomasa02,2,70,220,17,54,4,21,1,12,0.245,0.288,0.345,0.634
Moises Alou\aloumo01,*9/D,136,513,79,170,27,108,5,57,0.331,0.396,0.554,0.949
Brady Anderson*\anderbr01,*97/8D,131,430,50,87,8,45,12,60,0.202,0.311,0.3,0.611
Brian Anderson#\anderbr02,1,31,37,1,5,0,2,0,0,0.135,0.135,0.216,0.351
