Name,WAR
Jeff Abbott\abbotje01,-0.3
Kurt Abbott\abbotku01,-0.4
Paul Abbott\abbotpa01,0.1
Bobby Abreu*\abreubo01,6.2
Juan Acevedo\aceveju01,0.1
Terry Adams\adamste01,0
Benny Agbayani\agbaybe01,2
Rick Aguilera\aguilri01,0
Israel Alcantara\alcanis01,0.3
Scott Aldred*\aldresc01,0
Manny Alexander\alexama02,-0.7
Antonio Alfonseca\alfonan01,0
Edgardo Alfonzo\alfoned01,6.4
Luis Alicea#\alicelu01,1.1
Chad Allen\allench01,-0.1
Dusty Allen\allendu01,0.1
Armando Almanza*\almanar01,0
Carlos Almanzar\almanca01,0
Roberto Alomar#\alomaro01,5.6
Sandy Alomar\alomasa02,0.6
Moises Alou\aloumo01,2.6
Clemente Alvarez\alvarcl01,-0.1
Gabe Alvarez\alvarga01,-0.3
Juan Alvarez*\alvarju01,0
Rich Amaral\amarari01,-0.2
Brady Anderson*\anderbr01,1.9
Brian Anderson#\anderbr02,0
Garret Anderson*\anderga01,1.9
Jimmy Anderson*\anderji02,-0.2
Marlon Anderson*\anderma02,-0.5
Matt Anderson\anderma01,0
Clayton Andrews\andrecl01,0
Shane Andrews\andresh01,-0.1
Rick Ankiel*\ankieri01,0.8
Kevin Appier\appieke01,0
Danny Ardoin\ardoida01,-0.2
Alex Arias\ariasal01,-0.6
Tony Armas\armasto02,-0.1
Jamie Arnold\arnolja01,0
Rolando Arrojo\arrojro01,-0.2
Bronson Arroyo\arroybr01,0
Andy Ashby\ashbyan01,-0.1
Pedro Astacio\astacpe01,-0.5
Rich Aurilia\aurilri01,2.4
Brad Ausmus\ausmubr01,3.3
Bruce Aven\avenbr01,-0.2
Manny Aybar\aybarma01,0
Jeff Bagwell\bagweje01,5.4
Harold Baines*\baineha01,-0.3
Paul Bako*\bakopa01,-0.7
James Baldwin\baldwja01,-0.1
John Bale*\balejo01,0
Rod Barajas\barajro01,0
Lorenzo Barcelo\barcelo01,0
Glen Barker#\barkegl01,0
Kevin Barker*\barkeke01,0.1
John Barnes\barnejo01,0.2
Michael Barrett\barremi01,-2
Kimera Bartee#\barteki01,0
Miguel Batista\batismi01,0
Tony Batista\batisto01,2.4
Justin Baughman\baughju01,0.1
Danny Bautista\bautida01,0.5
Rod Beck\beckro01,0
Rich Becker*\beckeri01,0.8
Kevin Beirne*\beirnke01,0
Tim Belcher\belchti01,0
Stan Belinda\belinst01,0
Todd Belitz*\belitto01,0
David Bell\bellda01,0.9
Derek Bell\bellde01,1.7
Jay Bell\bellja01,0.8
Mike Bell\bellmi02,0.2
Rob Bell\bellro01,-0.3
Albert Belle\belleal01,0.6
Mark Bellhorn#\bellhma01,0
Ronnie Belliard\belliro01,2.4
Clay Bellinger\bellicl01,0.2
Carlos Beltran#\beltrca01,0.8
Rigo Beltran*\beltrri01,0
Adrian Beltre\beltrad01,3.4
Marvin Benard*\benarma01,2.1
Alan Benes\benesal01,0.1
Andy Benes\benesan01,-0.3
Armando Benitez\benitar01,0
Mike Benjamin\benjami01,1
Gary Bennett\bennega01,0.3
Kris Benson\bensokr01,-0.2
Jason Bere\bereja01,0.2
Dave Berg\bergda01,0.2
Peter Bergeron*\bergepe01,-1
Sean Bergman\bergmse01,0.1
Lance Berkman#\berkmla01,2
