Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Kevin Stocker#\stockke01,*6,112,336,37,70,6,25,5,27,0.208,0.282,0.313,0.594
Jim Stoops\stoopji01,/1,3,0,0,0,0,0,0,0,,,,
Todd Stottlemyre*\stottto01,1,22,53,3,12,0,1,0,4,0.226,0.281,0.226,0.507
Todd Stottlemyre*\stottto01,1,22,53,3,12,0,1,0,4,0.226,0.281,0.226,0.507
DaRond Stovall#\stovada01,78/9,62,78,11,16,2,6,1,6,0.205,0.262,0.333,0.595
Doug Strange#\strando01,15827,90,185,9,32,0,14,1,10,0.173,0.217,0.216,0.433
Darryl Strawberry*\strawda01,D7,101,295,44,73,24,57,8,46,0.247,0.354,0.542,0.896
Mark Strittmatter\stritma01,/2,4,4,0,0,0,0,0,0,0,0,0,0
Chris Stynes\stynech01,7594/86,123,347,52,88,6,27,15,32,0.254,0.323,0.34,0.663
Scott Sullivan\sullisc01,1,65,11,0,1,0,0,0,0,0.091,0.091,0.091,0.182
Jeff Suppan\suppaje01,1,13,22,1,6,0,1,1,0,0.273,0.304,0.273,0.577
Jeff Suppan\suppaje01,1,13,22,1,6,0,1,1,0,0.273,0.304,0.273,0.577
B.J. Surhoff*\surhob.01,*7/3,162,573,79,160,22,92,9,49,0.279,0.332,0.457,0.789
Larry Sutton*\suttola01,97/3D,111,310,29,76,5,42,3,29,0.245,0.311,0.352,0.663
Dale Sveum#\sveumda01,3/5D,30,58,6,9,0,3,0,4,0.155,0.203,0.155,0.358
Mark Sweeney*\sweenma01,93/7D,122,192,17,45,2,15,1,26,0.234,0.324,0.339,0.663
Mike Sweeney\sweenmi01,2,92,282,32,73,8,35,2,24,0.259,0.32,0.408,0.728
Bill Swift\swiftbi02,1,2,5,0,0,0,0,0,0,0,0,0,0
Greg Swindell\swindgr01,1,6,0,0,0,0,0,0,0,,,,
Greg Swindell\swindgr01,1,5,0,0,0,0,0,0,0,,,,
Greg Swindell\swindgr01,1,1,0,0,0,0,0,0,0,,,,
Jeff Tabaka\tabakje01,1,37,1,0,0,0,0,0,0,0,0,0,0
Jeff Tam\tamje01,1,13,1,0,0,0,0,0,0,0,0,0,0
Kevin Tapani\tapanke01,1,34,75,7,10,1,11,0,7,0.133,0.205,0.2,0.405
Tony Tarasco*\tarasto01,/798,15,24,5,5,1,4,0,3,0.208,0.296,0.417,0.713
Fernando Tatis\tatisfe01,*5/6,150,532,69,147,11,58,13,36,0.276,0.329,0.415,0.744
Fernando Tatis\tatisfe01,5,95,330,41,89,3,32,6,12,0.27,0.303,0.361,0.664
Fernando Tatis\tatisfe01,42861,55,202,28,58,8,26,7,24,0.287,0.367,0.505,0.872
Jim Tatum\tatumji01,/3275D,35,50,4,9,2,13,0,3,0.18,0.211,0.4,0.611
Ed Taubensee*\taubeed01,*2,130,431,61,120,11,72,1,52,0.278,0.352,0.418,0.769
Jesus Tavarez#\tavarje01,/89,8,11,2,2,1,1,0,2,0.182,0.308,0.455,0.762
Julian Tavarez*\tavarju01,1,58,9,0,1,0,0,0,0,0.111,0.111,0.111,0.222
Billy Taylor\taylobi04,1,5,0,0,0,0,0,0,0,,,,
Miguel Tejada\tejadmi01,6,105,365,53,85,11,45,5,28,0.233,0.298,0.384,0.681
Amaury Telemaco\telemam01,1,40,35,2,3,0,2,0,1,0.086,0.108,0.171,0.28
Amaury Telemaco\telemam01,1,14,6,0,1,0,0,0,0,0.167,0.167,0.167,0.333
Amaury Telemaco\telemam01,1,26,29,2,2,0,2,0,1,0.069,0.097,0.172,0.269
Anthony Telford\telfoan01,1,72,4,0,1,0,1,0,0,0.25,0.25,0.25,0.5
Bob Tewksbury\tewksbo01,1,2,1,0,0,0,0,0,0,0,0,0,0
Frank Thomas\thomafr04,*D3,160,585,109,155,29,109,7,110,0.265,0.381,0.48,0.861
Jim Thome*\thomeji01,*3/D,123,440,89,129,30,85,1,89,0.293,0.413,0.584,0.997
Justin Thompson*\thompju02,1,2,7,1,1,0,0,0,0,0.143,0.143,0.143,0.286
Mark Thompson\thompma01,/1,6,7,1,1,0,0,0,0,0.143,0.143,0.143,0.286
John Thomson\thomsjo01,1,26,50,4,6,0,2,0,2,0.12,0.148,0.12,0.268
Mike Thurman\thurmmi01,1,14,23,1,0,0,0,0,2,0,0.08,0,0.08
Mike Timlin\timlimi01,1,3,0,0,0,0,0,0,0,,,,
Andy Tomberlin*\tombean01,D/79,32,69,8,15,2,12,1,3,0.217,0.28,0.333,0.613
Brett Tomko\tomkobr01,1,35,65,4,7,0,3,0,4,0.108,0.157,0.123,0.28
Steve Trachsel\trachst01,1,31,64,11,17,1,8,0,7,0.266,0.338,0.359,0.697
Bubba Trammell\trammbu01,7D9,59,199,28,57,12,35,0,16,0.286,0.338,0.568,0.906
Chris Tremie\tremich01,/D,2,3,2,1,0,0,0,1,0.333,0.5,0.667,1.167
Mike Trombley\trombmi01,1,6,0,0,0,0,0,0,0,,,,
Michael Tucker*\tuckemi01,*9,130,414,54,101,13,46,8,49,0.244,0.327,0.418,0.745
Chris Turner\turnech01,/2,4,9,0,0,0,0,0,0,0,0.1,0,0.1
Ugueth Urbina\urbinug01,1,63,6,0,0,0,0,0,0,0,0,0,0
Marc Valdes\valdema01,1,19,5,1,2,0,0,0,0,0.4,0.5,0.4,0.9
Pedro Valdes*\valdepe01,/79,14,23,1,5,0,2,0,1,0.217,0.25,0.348,0.598
Efrain Valdez*\valdeef01,/1,4,0,0,0,0,0,0,0,,,,
Ismael Valdez\valdeis01,1,25,48,3,8,0,2,0,3,0.167,0.216,0.188,0.403
Javier Valentin#\valenja01,2/D,55,162,11,32,3,18,0,11,0.198,0.247,0.309,0.556
John Valentin\valenjo02,*5/4,153,588,113,145,23,73,4,77,0.247,0.34,0.442,0.782
Jose Valentin#\valenjo03,*6/D,151,428,65,96,16,49,10,63,0.224,0.323,0.393,0.716
Todd Van Poppel\vanpoto01,1,19,14,3,3,0,1,0,1,0.214,0.267,0.286,0.552
Todd Van Poppel\vanpoto01,/1,1,2,1,0,0,0,0,0,0,0,0,0
Todd Van Poppel\vanpoto01,1,18,12,2,3,0,1,0,1,0.25,0.308,0.333,0.641
John Vander Wal*\vandejo02,9/37D,109,129,21,36,5,20,0,22,0.279,0.382,0.512,0.893
John Vander Wal*\vandejo02,9/D73,89,104,18,30,5,20,0,16,0.288,0.38,0.548,0.928
John Vander Wal*\vandejo02,/397,20,25,3,6,0,0,0,6,0.24,0.387,0.36,0.747
Ben VanRyn*\vanrybe01,1,15,1,0,0,0,0,0,0,0,0,0,0
Ben VanRyn*\vanrybe01,1,15,1,0,0,0,0,0,0,0,0,0,0
Ben VanRyn*\vanrybe01,/1,9,1,0,0,0,0,0,0,0,0,0,0
Ben VanRyn*\vanrybe01,/1,6,0,0,0,0,0,0,0,,,,
Jason Varitek#\varitja01,2/D,86,221,31,56,7,33,2,17,0.253,0.309,0.407,0.716
Greg Vaughn\vaughgr01,*7/D,158,573,112,156,50,119,11,79,0.272,0.363,0.597,0.96
Mo Vaughn*\vaughmo01,*3D,154,609,107,205,40,115,0,61,0.337,0.402,0.591,0.993
Javier Vazquez\vazquja01,1,31,52,3,9,0,5,0,2,0.173,0.2,0.25,0.45
Jorge Velandia\velanjo01,/64,8,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5
Randy Velarde\velarra01,4,51,188,29,49,4,26,7,34,0.261,0.375,0.404,0.779
Robin Ventura*\venturo01,*5,161,590,84,155,21,91,1,79,0.263,0.349,0.436,0.785
Quilvio Veras#\verasqu01,*4,138,517,79,138,6,45,24,84,0.267,0.373,0.356,0.729
Dave Veres\veresda01,1,61,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667
Jose Vidro#\vidrojo01,42830,83,205,24,45,0,18,2,27,0.22,0.318,0.278,0.596
Fernando Vina*\vinafe01,*4,159,637,101,198,7,45,22,54,0.311,0.386,0.427,0.813
Joe Vitiello\vitiejo01,/D,3,7,0,1,0,0,0,1,0.143,0.25,0.143,0.393
Jose Vizcaino#\vizcajo01,6,67,237,30,62,3,29,7,17,0.262,0.311,0.338,0.649
Omar Vizquel#\vizquom01,*6,151,576,86,166,2,50,37,62,0.288,0.358,0.372,0.73
Jack Voigt\voigtja01,38/7D59,57,72,7,10,1,10,5,6,0.139,0.205,0.236,0.441
Billy Wagner*\wagnebi02,1,55,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667
Paul Wagner\wagnepa01,1,12,19,1,3,0,0,0,0,0.158,0.158,0.158,0.316
Dave Wainhouse*\wainhda01,1,10,1,0,0,0,0,0,0,0,0,0,0
Tim Wakefield\wakefti01,1,2,2,0,0,0,0,0,1,0,0.333,0,0.333
Matt Walbeck#\walbema01,2/D,108,338,41,87,6,46,1,30,0.257,0.317,0.367,0.684
Larry Walker*\walkela01,*9/845D,130,454,113,165,23,67,14,64,0.363,0.445,0.63,1.075
Todd Walker*\walketo04,*4/D,143,528,85,167,12,62,19,47,0.316,0.372,0.473,0.845
Donne Wall\walldo01,1,42,7,0,2,0,0,0,0,0.286,0.286,0.286,0.571
Jerome Walton\waltoje01,/79D,12,34,4,11,0,3,0,2,0.324,0.361,0.412,0.773
Daryle Ward*\wardda01,,4,3,1,1,0,0,0,1,0.333,0.5,0.333,0.833
Turner Ward#\wardtu01,879/D,123,282,33,74,9,46,5,27,0.262,0.328,0.426,0.754
John Wasdin\wasdijo01,1,3,0,1,0,0,0,0,1,,1,,
Jarrod Washburn*\washbja01,1,1,1,0,0,0,0,0,0,0,0,0,0
Pat Watkins\watkipa01,897,83,147,11,39,2,15,1,8,0.265,0.3,0.374,0.674
David Weathers\weathda01,1,44,23,2,2,1,1,0,2,0.087,0.16,0.217,0.377
David Weathers\weathda01,1,16,15,1,1,1,1,0,2,0.067,0.176,0.267,0.443
David Weathers\weathda01,1,28,8,1,1,0,0,0,0,0.125,0.125,0.125,0.25
Eric Weaver\weaveer01,/1,6,1,0,0,0,0,0,0,0,0,0,0
Neil Weber*\webbene01,/1,4,0,0,0,0,0,0,0,,,,
Lenny Webster\webstle01,2/D,108,309,37,88,10,46,0,15,0.285,0.317,0.434,0.751
John Wehner\wehnejo01,79/58,53,88,10,20,0,5,1,7,0.227,0.281,0.25,0.531
Walt Weiss#\weisswa01,6,96,347,64,97,0,27,7,59,0.28,0.386,0.343,0.729
Mike Welch*\welchmi03,1,10,3,0,0,0,0,0,0,0,0,0,0
Bob Wells\wellsbo01,1,1,0,0,0,0,0,0,0,,,,
David Wells*\wellsda01,1,1,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5
Turk Wendell#\wendetu01,1,62,4,0,0,0,0,0,0,0,0,0,0
Don Wengert\wengedo01,1,33,16,0,0,0,0,0,1,0,0.059,0,0.059
Don Wengert\wengedo01,1,10,3,0,0,0,0,0,0,0,0,0,0
Don Wengert\wengedo01,1,23,13,0,0,0,0,0,1,0,0.071,0,0.071
John Wetteland\wettejo01,1,8,0,0,0,0,0,0,0,,,,
Matt Whisenant\whisema01,1,4,0,0,0,0,0,0,0,,,,
Derrick White\whitede04,/7D,20,19,1,1,1,2,0,0,0.053,0.053,0.211,0.263
Derrick White\whitede04,/D7,11,10,1,1,1,2,0,0,0.1,0.1,0.4,0.5
Derrick White\whitede04,/7,9,9,0,0,0,0,0,0,0,0,0,0
Devon White#\whitede03,*8,146,563,84,157,22,85,22,42,0.279,0.335,0.456,0.792
Gabe White*\whitega01,1,68,6,0,1,0,0,0,0,0.167,0.167,0.167,0.333
Rick White\whiteri01,1,4,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667
Rondell White\whitero02,87/D,97,357,54,107,17,58,16,30,0.3,0.363,0.513,0.875
Mark Whiten#\whitema01,789/D1,87,226,31,64,6,29,2,29,0.283,0.372,0.425,0.797
Matt Whiteside\whitema02,1,10,2,0,0,0,0,0,0,0,0,0,0
Bob Wickman\wickmbo01,1,69,1,0,0,0,0,0,0,0,0,0,0
Chris Widger\widgech01,*2,125,417,36,97,15,53,6,29,0.233,0.281,0.388,0.67
Marc Wilkins\wilkima01,1,16,0,0,0,0,0,0,0,,,,
Rick Wilkins*\wilkiri01,2/3D,24,56,8,10,1,5,0,6,0.179,0.254,0.286,0.54
