Name,WAR
Jeff Abbott\abbotje01,-0.4
Jim Abbott*\abbotji01,-0.1
Kurt Abbott\abbotku01,-0.7
Paul Abbott\abbotpa01,0
Bobby Abreu*\abreubo01,6.1
Juan Acevedo\aceveju01,-0.2
Terry Adams\adamste01,0
Benny Agbayani\agbaybe01,0.6
Rick Aguilera\aguilri01,0
Scott Aldred*\aldresc01,0
Manny Alexander\alexama02,0.2
Antonio Alfonseca\alfonan01,0
Edgardo Alfonzo\alfoned01,6
Luis Alicea#\alicelu01,0.1
Chad Allen\allench01,-0.8
Jermaine Allensworth\allenje01,0
Armando Almanza*\almanar01,-0.1
Carlos Almanzar\almanca01,0
Hector Almonte\almonhe01,0
Roberto Alomar#\alomaro01,7.4
Sandy Alomar\alomasa02,0.5
Gabe Alvarez\alvarga01,-0.2
Juan Alvarez*\alvarju01,0
Wilson Alvarez*\alvarwi01,0
Rich Amaral\amarari01,0.7
Brady Anderson*\anderbr01,5.9
Brian Anderson#\anderbr02,0.1
Garret Anderson*\anderga01,2.7
Jimmy Anderson*\anderji02,0.1
Marlon Anderson*\anderma02,-0.6
Matt Anderson\anderma01,0
Shane Andrews\andresh01,-0.7
Rick Ankiel*\ankieri01,-0.1
Kevin Appier\appieke01,0
Alex Arias\ariasal01,0.2
George Arias\ariasge01,-0.2
Tony Armas\armasto02,0
Jamie Arnold\arnolja01,0
Rolando Arrojo\arrojro01,0
Andy Ashby\ashbyan01,0
Paul Assenmacher*\assenpa01,0
Pedro Astacio\astacpe01,0.1
Rich Aurilia\aurilri01,1.6
Brad Ausmus\ausmubr01,3.4
Bruce Aven\avenbr01,1.8
Steve Avery*\averyst01,-0.3
Bobby Ayala\ayalabo01,0
Manny Aybar\aybarma01,0
Carlos Baerga#\baergca01,-0.8
Jeff Bagwell\bagweje01,7.4
Harold Baines*\baineha01,2.5
Paul Bako*\bakopa01,0.5
James Baldwin\baldwja01,0.1
John Bale*\balejo01,0
Brian Banks#\banksbr01,-0.9
Rod Barajas\barajro01,0.1
Brian Barber\barbebr02,0
Glen Barker#\barkegl01,0.7
Kevin Barker*\barkeke01,-0.3
Richie Barker\barkeri01,0
Michael Barrett\barremi01,-0.1
Jeff Barry#\barryje01,-0.9
Kimera Bartee#\barteki01,0.6
Miguel Batista\batismi01,0.2
Tony Batista\batisto01,4
Howard Battle\battlho01,0.2
Danny Bautista\bautida01,0.4
Rod Beck\beckro01,0
